origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.01,2110.951474698597
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.01,2089.2862582951457
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.01,2082.726867674317
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.01,2081.702085483613
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.025,2127.9340715598782
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.025,2107.47764688332
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.025,2101.453423257155
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.025,2100.672185261488
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.05,2155.698036725528
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.05,2137.217802832516
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.05,2132.068495917796
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.05,2131.685415671649
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.1,2209.4426546930786
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.1,2194.787869292712
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.1,2191.332198864331
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.1,2191.71985997343
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.15,2261.1936043794503
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.15,2250.2223616286965
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.15,2248.3975018732
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.15,2249.5273135195057
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.2,2311.335284923442
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.2,2303.9330398418406
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.2,2303.6882783895257
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.2,2305.5371623500146
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.25,2360.187101523492
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.25,2356.2620438374443
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.25,2357.556733629676
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.25,2360.1061922105905
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.3,2408.021426910022
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.3,2407.5011333634648
2025-03-12,ILI incidence,2025-03-23,3,AT,quantile,0.3,2410.303210533963
2025-03-12,ILI incidence,2025-03-30,4,AT,quantile,0.3,2413.538652087126
2025-03-12,ILI incidence,2025-03-09,1,AT,quantile,0.35,2455.076550889842
2025-03-12,ILI incidence,2025-03-16,2,AT,quantile,0.35,2457.905559280988
