anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
2024,08,IT,quantile,0.01,1,3.36
2024,08,IT,quantile,0.025,1,3.4
2024,08,IT,quantile,0.05,1,3.44
2024,08,IT,quantile,0.1,1,3.5
2024,08,IT,quantile,0.15,1,3.61
2024,08,IT,quantile,0.2,1,3.67
2024,08,IT,quantile,0.25,1,3.73
2024,08,IT,quantile,0.3,1,3.78
2024,08,IT,quantile,0.35,1,3.82
2024,08,IT,quantile,0.4,1,3.89
2024,08,IT,quantile,0.45,1,3.94
2024,08,IT,quantile,0.5,1,4.02
2024,08,IT,quantile,0.55,1,4.13
2024,08,IT,quantile,0.6,1,4.23
2024,08,IT,quantile,0.65,1,4.32
2024,08,IT,quantile,0.7,1,4.4
2024,08,IT,quantile,0.75,1,4.49
2024,08,IT,quantile,0.8,1,4.62
2024,08,IT,quantile,0.85,1,4.95
2024,08,IT,quantile,0.9,1,5.2
2024,08,IT,quantile,0.95,1,5.54
2024,08,IT,quantile,0.975,1,5.82
2024,08,IT,quantile,0.99,1,6.48
2024,08,IT,quantile,0.01,2,2.34
2024,08,IT,quantile,0.025,2,2.36
2024,08,IT,quantile,0.05,2,2.4
2024,08,IT,quantile,0.1,2,2.5
2024,08,IT,quantile,0.15,2,2.64
2024,08,IT,quantile,0.2,2,2.69
2024,08,IT,quantile,0.25,2,2.78
2024,08,IT,quantile,0.3,2,2.83
2024,08,IT,quantile,0.35,2,2.87
2024,08,IT,quantile,0.4,2,2.92
2024,08,IT,quantile,0.45,2,3.01
2024,08,IT,quantile,0.5,2,3.06
2024,08,IT,quantile,0.55,2,3.1
2024,08,IT,quantile,0.6,2,3.16
2024,08,IT,quantile,0.65,2,3.23
2024,08,IT,quantile,0.7,2,3.29
2024,08,IT,quantile,0.75,2,3.39
2024,08,IT,quantile,0.8,2,3.64
2024,08,IT,quantile,0.85,2,3.79
2024,08,IT,quantile,0.9,2,3.99
2024,08,IT,quantile,0.95,2,4.31
2024,08,IT,quantile,0.975,2,4.48
2024,08,IT,quantile,0.99,2,5.02
2024,08,IT,quantile,0.01,3,1.59
2024,08,IT,quantile,0.025,3,1.62
2024,08,IT,quantile,0.05,3,1.66
2024,08,IT,quantile,0.1,3,1.78
2024,08,IT,quantile,0.15,3,1.88
2024,08,IT,quantile,0.2,3,1.94
2024,08,IT,quantile,0.25,3,2.02
2024,08,IT,quantile,0.3,3,2.09
2024,08,IT,quantile,0.35,3,2.14
2024,08,IT,quantile,0.4,3,2.18
2024,08,IT,quantile,0.45,3,2.22
2024,08,IT,quantile,0.5,3,2.26
2024,08,IT,quantile,0.55,3,2.32
2024,08,IT,quantile,0.6,3,2.37
2024,08,IT,quantile,0.65,3,2.42
2024,08,IT,quantile,0.7,3,2.49
2024,08,IT,quantile,0.75,3,2.56
2024,08,IT,quantile,0.8,3,2.82
2024,08,IT,quantile,0.85,3,2.9
2024,08,IT,quantile,0.9,3,3.04
2024,08,IT,quantile,0.95,3,3.35
2024,08,IT,quantile,0.975,3,3.51
2024,08,IT,quantile,0.99,3,3.85
2024,08,IT,quantile,0.01,4,1.08
2024,08,IT,quantile,0.025,4,1.1
2024,08,IT,quantile,0.05,4,1.14
2024,08,IT,quantile,0.1,4,1.24
2024,08,IT,quantile,0.15,4,1.33
2024,08,IT,quantile,0.2,4,1.38
2024,08,IT,quantile,0.25,4,1.44
2024,08,IT,quantile,0.3,4,1.52
2024,08,IT,quantile,0.35,4,1.57
2024,08,IT,quantile,0.4,4,1.6
2024,08,IT,quantile,0.45,4,1.63
2024,08,IT,quantile,0.5,4,1.66
2024,08,IT,quantile,0.55,4,1.7
2024,08,IT,quantile,0.6,4,1.76
2024,08,IT,quantile,0.65,4,1.82
2024,08,IT,quantile,0.7,4,1.88
2024,08,IT,quantile,0.75,4,1.99
2024,08,IT,quantile,0.8,4,2.12
2024,08,IT,quantile,0.85,4,2.21
2024,08,IT,quantile,0.9,4,2.33
2024,08,IT,quantile,0.95,4,2.53
2024,08,IT,quantile,0.975,4,2.82
2024,08,IT,quantile,0.99,4,2.94
