anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2025,8,IT,quantile,0.01,-1,12.15858563818491,ILI
2025,8,IT,quantile,0.01,0,10.216957964346731,ILI
2025,8,IT,quantile,0.01,1,8.065973354334746,ILI
2025,8,IT,quantile,0.01,2,6.138200835424868,ILI
2025,8,IT,quantile,0.01,3,4.557386445352751,ILI
2025,8,IT,quantile,0.01,4,3.3143922663019487,ILI
2025,8,IT,quantile,0.025,-1,12.307044370800847,ILI
2025,8,IT,quantile,0.025,0,10.274603066244138,ILI
2025,8,IT,quantile,0.025,1,8.20640836117943,ILI
2025,8,IT,quantile,0.025,2,6.254212890108722,ILI
2025,8,IT,quantile,0.025,3,4.6481361969464645,ILI
2025,8,IT,quantile,0.025,4,3.381441933189221,ILI
2025,8,IT,quantile,0.05,-1,12.439734697933396,ILI
2025,8,IT,quantile,0.05,0,10.416107226818564,ILI
2025,8,IT,quantile,0.05,1,8.404457093763948,ILI
2025,8,IT,quantile,0.05,2,6.538340858709688,ILI
2025,8,IT,quantile,0.05,3,4.882491920046006,ILI
2025,8,IT,quantile,0.05,4,3.555631217625205,ILI
2025,8,IT,quantile,0.1,-1,12.630431438150815,ILI
2025,8,IT,quantile,0.1,0,10.672019884533013,ILI
2025,8,IT,quantile,0.1,1,8.681294734532308,ILI
2025,8,IT,quantile,0.1,2,6.928307883595453,ILI
2025,8,IT,quantile,0.1,3,5.318541565314568,ILI
2025,8,IT,quantile,0.1,4,3.8809483691344098,ILI
2025,8,IT,quantile,0.15,-1,12.762834076579049,ILI
2025,8,IT,quantile,0.15,0,10.921208916566854,ILI
2025,8,IT,quantile,0.15,1,9.005290772582544,ILI
2025,8,IT,quantile,0.15,2,7.1829685895146405,ILI
2025,8,IT,quantile,0.15,3,5.444322522011213,ILI
2025,8,IT,quantile,0.15,4,4.004945287147091,ILI
2025,8,IT,quantile,0.2,-1,12.900866667499072,ILI
2025,8,IT,quantile,0.2,0,11.149921947742234,ILI
2025,8,IT,quantile,0.2,1,9.212137684354513,ILI
2025,8,IT,quantile,0.2,2,7.310434344279149,ILI
2025,8,IT,quantile,0.2,3,5.560148723959945,ILI
2025,8,IT,quantile,0.2,4,4.10345385427436,ILI
2025,8,IT,quantile,0.25,-1,13.009785429259708,ILI
2025,8,IT,quantile,0.25,0,11.358634973816292,ILI
2025,8,IT,quantile,0.25,1,9.362141418637194,ILI
2025,8,IT,quantile,0.25,2,7.396468192091679,ILI
2025,8,IT,quantile,0.25,3,5.637893915364474,ILI
2025,8,IT,quantile,0.25,4,4.172184636063543,ILI
2025,8,IT,quantile,0.3,-1,13.139514826205671,ILI
2025,8,IT,quantile,0.3,0,11.491338819758294,ILI
2025,8,IT,quantile,0.3,1,9.487372084587076,ILI
2025,8,IT,quantile,0.3,2,7.482532180133514,ILI
2025,8,IT,quantile,0.3,3,5.716008121701999,ILI
2025,8,IT,quantile,0.3,4,4.245600926464516,ILI
2025,8,IT,quantile,0.35,-1,13.246398654584143,ILI
2025,8,IT,quantile,0.35,0,11.617767537263187,ILI
2025,8,IT,quantile,0.35,1,9.595662167055819,ILI
2025,8,IT,quantile,0.35,2,7.561339287575118,ILI
2025,8,IT,quantile,0.35,3,5.772370782247751,ILI
2025,8,IT,quantile,0.35,4,4.314252622421589,ILI
2025,8,IT,quantile,0.4,-1,13.392722723485631,ILI
2025,8,IT,quantile,0.4,0,11.718767274288274,ILI
2025,8,IT,quantile,0.4,1,9.68579934911614,ILI
2025,8,IT,quantile,0.4,2,7.6273487294535105,ILI
2025,8,IT,quantile,0.4,3,5.838721808551258,ILI
2025,8,IT,quantile,0.4,4,4.378199759463618,ILI
2025,8,IT,quantile,0.45,-1,13.520706823669617,ILI
2025,8,IT,quantile,0.45,0,11.814579227004675,ILI
2025,8,IT,quantile,0.45,1,9.774779431271565,ILI
2025,8,IT,quantile,0.45,2,7.688172268605865,ILI
2025,8,IT,quantile,0.45,3,5.894762118904843,ILI
2025,8,IT,quantile,0.45,4,4.4486574769645895,ILI
2025,8,IT,quantile,0.5,-1,13.626732437619038,ILI
2025,8,IT,quantile,0.5,0,11.904416589554957,ILI
2025,8,IT,quantile,0.5,1,9.8737104805076,ILI
2025,8,IT,quantile,0.5,2,7.762941615010972,ILI
2025,8,IT,quantile,0.5,3,5.967403912258757,ILI
2025,8,IT,quantile,0.5,4,4.512421270383275,ILI
2025,8,IT,quantile,0.55,-1,13.736414327654579,ILI
2025,8,IT,quantile,0.55,0,12.004418572145005,ILI
2025,8,IT,quantile,0.55,1,9.979991236617668,ILI
2025,8,IT,quantile,0.55,2,7.857346003914248,ILI
2025,8,IT,quantile,0.55,3,6.036736519654906,ILI
2025,8,IT,quantile,0.55,4,4.571389230983169,ILI
2025,8,IT,quantile,0.6,-1,13.83686507729183,ILI
2025,8,IT,quantile,0.6,0,12.101524886470013,ILI
2025,8,IT,quantile,0.6,1,10.067825543671146,ILI
2025,8,IT,quantile,0.6,2,7.948234431471844,ILI
2025,8,IT,quantile,0.6,3,6.139750300579557,ILI
2025,8,IT,quantile,0.6,4,4.653664153697935,ILI
2025,8,IT,quantile,0.65,-1,13.95215597588034,ILI
2025,8,IT,quantile,0.65,0,12.196678238108792,ILI
2025,8,IT,quantile,0.65,1,10.17718528469829,ILI
2025,8,IT,quantile,0.65,2,8.071620383809673,ILI
2025,8,IT,quantile,0.65,3,6.272120042525586,ILI
2025,8,IT,quantile,0.65,4,4.754086196083087,ILI
2025,8,IT,quantile,0.7,-1,14.077713484730852,ILI
2025,8,IT,quantile,0.7,0,12.327660074560114,ILI
2025,8,IT,quantile,0.7,1,10.299145502435358,ILI
2025,8,IT,quantile,0.7,2,8.247012293556196,ILI
2025,8,IT,quantile,0.7,3,6.44793988646668,ILI
2025,8,IT,quantile,0.7,4,4.92774181751794,ILI
2025,8,IT,quantile,0.75,-1,14.18676643745091,ILI
2025,8,IT,quantile,0.75,0,12.440590676742545,ILI
2025,8,IT,quantile,0.75,1,10.467672203153157,ILI
2025,8,IT,quantile,0.75,2,8.947851958031269,ILI
2025,8,IT,quantile,0.75,3,7.623555001487371,ILI
2025,8,IT,quantile,0.75,4,6.41428701817063,ILI
2025,8,IT,quantile,0.8,-1,14.321363861803176,ILI
2025,8,IT,quantile,0.8,0,12.622380767299408,ILI
2025,8,IT,quantile,0.8,1,10.735414319405116,ILI
2025,8,IT,quantile,0.8,2,9.375346524101452,ILI
2025,8,IT,quantile,0.8,3,8.036157355514469,ILI
2025,8,IT,quantile,0.8,4,6.763701589215051,ILI
2025,8,IT,quantile,0.85,-1,14.503291479968642,ILI
2025,8,IT,quantile,0.85,0,12.78546008622481,ILI
2025,8,IT,quantile,0.85,1,11.084886931891344,ILI
2025,8,IT,quantile,0.85,2,9.683769095684033,ILI
2025,8,IT,quantile,0.85,3,8.26947804787143,ILI
2025,8,IT,quantile,0.85,4,6.944316923549653,ILI
2025,8,IT,quantile,0.9,-1,14.826614731850595,ILI
2025,8,IT,quantile,0.9,0,12.984352590783065,ILI
2025,8,IT,quantile,0.9,1,11.519631913874342,ILI
2025,8,IT,quantile,0.9,2,10.001216296493826,ILI
2025,8,IT,quantile,0.9,3,8.50117477274349,ILI
2025,8,IT,quantile,0.9,4,7.132676392470744,ILI
2025,8,IT,quantile,0.95,-1,15.097872651301708,ILI
2025,8,IT,quantile,0.95,0,13.244259364947759,ILI
2025,8,IT,quantile,0.95,1,11.86152268666512,ILI
2025,8,IT,quantile,0.95,2,10.353103633124848,ILI
2025,8,IT,quantile,0.95,3,8.819393972491465,ILI
2025,8,IT,quantile,0.95,4,7.3650869225943465,ILI
2025,8,IT,quantile,0.975,-1,15.26283787125462,ILI
2025,8,IT,quantile,0.975,0,13.41156062950271,ILI
2025,8,IT,quantile,0.975,1,12.029992246190771,ILI
2025,8,IT,quantile,0.975,2,10.511121356435305,ILI
2025,8,IT,quantile,0.975,3,8.961420172680182,ILI
2025,8,IT,quantile,0.975,4,7.498448052545792,ILI
2025,8,IT,quantile,0.99,-1,15.346539491009501,ILI
2025,8,IT,quantile,0.99,0,13.532659066034368,ILI
2025,8,IT,quantile,0.99,1,12.167652494398054,ILI
2025,8,IT,quantile,0.99,2,10.684358776955044,ILI
2025,8,IT,quantile,0.99,3,9.13817555990716,ILI
2025,8,IT,quantile,0.99,4,7.658599403689115,ILI
