orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana,target
1,IT,quantile,0.01,8.46531329495702,2024,49,ILI
2,IT,quantile,0.01,8.42905271385378,2024,49,ILI
3,IT,quantile,0.01,8.4023038480737,2024,49,ILI
4,IT,quantile,0.01,8.36694547447728,2024,49,ILI
1,IT,quantile,0.99,9.23698180306397,2024,49,ILI
2,IT,quantile,0.99,9.75472650191481,2024,49,ILI
3,IT,quantile,0.99,10.2671214276096,2024,49,ILI
4,IT,quantile,0.99,10.8814476667508,2024,49,ILI
1,IT,quantile,0.025,8.52246065989905,2024,49,ILI
2,IT,quantile,0.025,8.52154258442101,2024,49,ILI
3,IT,quantile,0.025,8.54897150611075,2024,49,ILI
4,IT,quantile,0.025,8.5365038144336,2024,49,ILI
1,IT,quantile,0.975,9.17532566744087,2024,49,ILI
2,IT,quantile,0.975,9.65228287968315,2024,49,ILI
3,IT,quantile,0.975,10.1482589888657,2024,49,ILI
4,IT,quantile,0.975,10.6666316060064,2024,49,ILI
1,IT,quantile,0.05,8.57369153842701,2024,49,ILI
2,IT,quantile,0.05,8.61311211265716,2024,49,ILI
3,IT,quantile,0.05,8.65343942810018,2024,49,ILI
4,IT,quantile,0.05,8.70376356541526,2024,49,ILI
1,IT,quantile,0.95,9.13043064313794,2024,49,ILI
2,IT,quantile,0.95,9.56160875839472,2024,49,ILI
3,IT,quantile,0.95,10.0068413624512,2024,49,ILI
4,IT,quantile,0.95,10.4887516485689,2024,49,ILI
1,IT,quantile,0.1,8.63625668211603,2024,49,ILI
2,IT,quantile,0.1,8.72919765643666,2024,49,ILI
3,IT,quantile,0.1,8.80899088317048,2024,49,ILI
4,IT,quantile,0.1,8.89513129839448,2024,49,ILI
1,IT,quantile,0.9,9.07194583490691,2024,49,ILI
2,IT,quantile,0.9,9.45282248137893,2024,49,ILI
3,IT,quantile,0.9,9.8569117029008,2024,49,ILI
4,IT,quantile,0.9,10.2820373205616,2024,49,ILI
1,IT,quantile,0.15,8.68333921959504,2024,49,ILI
2,IT,quantile,0.15,8.79584313558365,2024,49,ILI
3,IT,quantile,0.15,8.90691893416197,2024,49,ILI
4,IT,quantile,0.15,9.02842225668846,2024,49,ILI
1,IT,quantile,0.85,9.03302396834385,2024,49,ILI
2,IT,quantile,0.85,9.380691217894,2024,49,ILI
3,IT,quantile,0.85,9.75472196820875,2024,49,ILI
4,IT,quantile,0.85,10.1360746538175,2024,49,ILI
1,IT,quantile,0.2,8.71831676188205,2024,49,ILI
2,IT,quantile,0.2,8.85206109078248,2024,49,ILI
3,IT,quantile,0.2,8.9834478925294,2024,49,ILI
4,IT,quantile,0.2,9.12353940992002,2024,49,ILI
1,IT,quantile,0.8,9.00176406502967,2024,49,ILI
2,IT,quantile,0.8,9.32674011572738,2024,49,ILI
3,IT,quantile,0.8,9.66957896831892,2024,49,ILI
4,IT,quantile,0.8,10.0288298368637,2024,49,ILI
1,IT,quantile,0.25,8.74812587925562,2024,49,ILI
2,IT,quantile,0.25,8.90045840302017,2024,49,ILI
3,IT,quantile,0.25,9.05517112246855,2024,49,ILI
4,IT,quantile,0.25,9.21147063903947,2024,49,ILI
1,IT,quantile,0.75,8.97401778391541,2024,49,ILI
2,IT,quantile,0.75,9.2827631669025,2024,49,ILI
3,IT,quantile,0.75,9.60159604588292,2024,49,ILI
4,IT,quantile,0.75,9.94207737132096,2024,49,ILI
1,IT,quantile,0.3,8.7727212346551,2024,49,ILI
2,IT,quantile,0.3,8.94636217692244,2024,49,ILI
3,IT,quantile,0.3,9.12168059043361,2024,49,ILI
4,IT,quantile,0.3,9.2882036141798,2024,49,ILI
1,IT,quantile,0.7,8.94772228874177,2024,49,ILI
2,IT,quantile,0.7,9.24150644171626,2024,49,ILI
3,IT,quantile,0.7,9.54481137742604,2024,49,ILI
4,IT,quantile,0.7,9.85355676041313,2024,49,ILI
1,IT,quantile,0.35,8.79659119708428,2024,49,ILI
2,IT,quantile,0.35,8.98807227271511,2024,49,ILI
3,IT,quantile,0.35,9.1724354298248,2024,49,ILI
4,IT,quantile,0.35,9.37162380576515,2024,49,ILI
1,IT,quantile,0.65,8.9255071290261,2024,49,ILI
2,IT,quantile,0.65,9.20312861988094,2024,49,ILI
3,IT,quantile,0.65,9.49056558436524,2024,49,ILI
4,IT,quantile,0.65,9.77936266066888,2024,49,ILI
1,IT,quantile,0.4,8.81923705887607,2024,49,ILI
2,IT,quantile,0.4,9.02434192123048,2024,49,ILI
3,IT,quantile,0.4,9.22835869412944,2024,49,ILI
4,IT,quantile,0.4,9.44461647340233,2024,49,ILI
1,IT,quantile,0.6,8.90329196931044,2024,49,ILI
2,IT,quantile,0.6,9.16579355044043,2024,49,ILI
3,IT,quantile,0.6,9.43527703890962,2024,49,ILI
4,IT,quantile,0.6,9.70956625580711,2024,49,ILI
1,IT,quantile,0.45,8.83891334319565,2024,49,ILI
2,IT,quantile,0.45,9.06015819913941,2024,49,ILI
3,IT,quantile,0.45,9.27983892649094,2024,49,ILI
4,IT,quantile,0.45,9.51060456516998,2024,49,ILI
1,IT,quantile,0.55,8.88062343898833,2024,49,ILI
2,IT,quantile,0.55,9.13179075495727,2024,49,ILI
3,IT,quantile,0.55,9.37797099425534,2024,49,ILI
4,IT,quantile,0.55,9.642490074584,2024,49,ILI
1,IT,quantile,0.5,8.85976839109199,2024,49,ILI
2,IT,quantile,0.5,9.0955211064419,2024,49,ILI
3,IT,quantile,0.5,9.32719348633382,2024,49,ILI
4,IT,quantile,0.5,9.57541389336089,2024,49,ILI
