"orizzonte","luogo","tipo_valore","id_valore","valore","anno","settimana","target"
1,"IT","quantile","0.01",5.15875141891824,"2025",15,"ILI"
2,"IT","quantile","0.01",4.70963240390701,"2025",15,"ILI"
3,"IT","quantile","0.01",4.29275087646454,"2025",15,"ILI"
4,"IT","quantile","0.01",3.9227396925426,"2025",15,"ILI"
1,"IT","quantile","0.025",5.2093971732135,"2025",15,"ILI"
2,"IT","quantile","0.025",4.76949066276457,"2025",15,"ILI"
3,"IT","quantile","0.025",4.37688142698808,"2025",15,"ILI"
4,"IT","quantile","0.025",4.01398994786417,"2025",15,"ILI"
1,"IT","quantile","0.05",5.24330052939463,"2025",15,"ILI"
2,"IT","quantile","0.05",4.82302448073452,"2025",15,"ILI"
3,"IT","quantile","0.05",4.44468813935033,"2025",15,"ILI"
4,"IT","quantile","0.05",4.10188753796339,"2025",15,"ILI"
1,"IT","quantile","0.1",5.28390084482141,"2025",15,"ILI"
2,"IT","quantile","0.1",4.89003592918635,"2025",15,"ILI"
3,"IT","quantile","0.1",4.5267258901096,"2025",15,"ILI"
4,"IT","quantile","0.1",4.19397072759114,"2025",15,"ILI"
1,"IT","quantile","0.15",5.31194436166259,"2025",15,"ILI"
2,"IT","quantile","0.15",4.93398472423596,"2025",15,"ILI"
3,"IT","quantile","0.15",4.58281292379195,"2025",15,"ILI"
4,"IT","quantile","0.15",4.26010320014197,"2025",15,"ILI"
1,"IT","quantile","0.2",5.33622083892809,"2025",15,"ILI"
2,"IT","quantile","0.2",4.97115284804934,"2025",15,"ILI"
3,"IT","quantile","0.2",4.63345867808721,"2025",15,"ILI"
4,"IT","quantile","0.2",4.31577167387148,"2025",15,"ILI"
1,"IT","quantile","0.25",5.35547459675934,"2025",15,"ILI"
2,"IT","quantile","0.25",5.00137287664536,"2025",15,"ILI"
3,"IT","quantile","0.25",4.67238475370258,"2025",15,"ILI"
4,"IT","quantile","0.25",4.36348750849677,"2025",15,"ILI"
1,"IT","quantile","0.3",5.37347267473204,"2025",15,"ILI"
2,"IT","quantile","0.3",5.02983495343939,"2025",15,"ILI"
3,"IT","quantile","0.3",4.71005514945939,"2025",15,"ILI"
4,"IT","quantile","0.3",4.40911054335779,"2025",15,"ILI"
1,"IT","quantile","0.35",5.39021507284617,"2025",15,"ILI"
2,"IT","quantile","0.35",5.0549485506106,"2025",15,"ILI"
3,"IT","quantile","0.35",4.74353994568766,"2025",15,"ILI"
4,"IT","quantile","0.35",4.45012941873742,"2025",15,"ILI"
1,"IT","quantile","0.4",5.40570179110175,"2025",15,"ILI"
2,"IT","quantile","0.4",5.07880646792324,"2025",15,"ILI"
3,"IT","quantile","0.4",4.77409482224596,"2025",15,"ILI"
4,"IT","quantile","0.4",4.4898926142585,"2025",15,"ILI"
1,"IT","quantile","0.45",5.42035138945162,"2025",15,"ILI"
2,"IT","quantile","0.45",5.10099014542447,"2025",15,"ILI"
3,"IT","quantile","0.45",4.8033940189457,"2025",15,"ILI"
4,"IT","quantile","0.45",4.52505165029818,"2025",15,"ILI"
1,"IT","quantile","0.5",5.43500098780149,"2025",15,"ILI"
2,"IT","quantile","0.5",5.12484806273711,"2025",15,"ILI"
3,"IT","quantile","0.5",4.83353033555114,"2025",15,"ILI"
4,"IT","quantile","0.5",4.56062924629072,"2025",15,"ILI"
1,"IT","quantile","0.55",5.4492320261985,"2025",15,"ILI"
2,"IT","quantile","0.55",5.14703174023834,"2025",15,"ILI"
3,"IT","quantile","0.55",4.86324809220373,"2025",15,"ILI"
4,"IT","quantile","0.55",4.59871820200038,"2025",15,"ILI"
1,"IT","quantile","0.6",5.46430018450123,"2025",15,"ILI"
2,"IT","quantile","0.6",5.17088965755099,"2025",15,"ILI"
3,"IT","quantile","0.6",4.89380296876203,"2025",15,"ILI"
4,"IT","quantile","0.6",4.63404466202121,"2025",15,"ILI"
1,"IT","quantile","0.65",5.4797869027568,"2025",15,"ILI"
2,"IT","quantile","0.65",5.19600325472219,"2025",15,"ILI"
3,"IT","quantile","0.65",4.9264506450846,"2025",15,"ILI"
4,"IT","quantile","0.65",4.67196619374973,"2025",15,"ILI"
1,"IT","quantile","0.7",5.49569218096523,"2025",15,"ILI"
2,"IT","quantile","0.7",5.22237253175196,"2025",15,"ILI"
3,"IT","quantile","0.7",4.95909832140716,"2025",15,"ILI"
4,"IT","quantile","0.7",4.71131082931795,"2025",15,"ILI"
1,"IT","quantile","0.75",5.51327169898508,"2025",15,"ILI"
2,"IT","quantile","0.75",5.25041604859314,"2025",15,"ILI"
3,"IT","quantile","0.75",4.99603623724648,"2025",15,"ILI"
4,"IT","quantile","0.75",4.75442250446185,"2025",15,"ILI"
1,"IT","quantile","0.8",5.53336257672204,"2025",15,"ILI"
2,"IT","quantile","0.8",5.28013380524573,"2025",15,"ILI"
3,"IT","quantile","0.8",5.0377875925436,"2025",15,"ILI"
4,"IT","quantile","0.8",4.80381257889855,"2025",15,"ILI"
1,"IT","quantile","0.85",5.55722049403468,"2025",15,"ILI"
2,"IT","quantile","0.85",5.31403716142685,"2025",15,"ILI"
3,"IT","quantile","0.85",5.08717766698031,"2025",15,"ILI"
4,"IT","quantile","0.85",4.86324809220373,"2025",15,"ILI"
1,"IT","quantile","0.9",5.58903105045154,"2025",15,"ILI"
2,"IT","quantile","0.9",5.36007875624073,"2025",15,"ILI"
3,"IT","quantile","0.9",5.14577606037978,"2025",15,"ILI"
4,"IT","quantile","0.9",4.93775176381164,"2025",15,"ILI"
1,"IT","quantile","0.95",5.63507264526542,"2025",15,"ILI"
2,"IT","quantile","0.95",5.43207106813152,"2025",15,"ILI"
3,"IT","quantile","0.95",5.24288196944177,"2025",15,"ILI"
4,"IT","quantile","0.95",5.05662279042201,"2025",15,"ILI"
1,"IT","quantile","0.975",5.67442774483246,"2025",15,"ILI"
2,"IT","quantile","0.975",5.50029634044662,"2025",15,"ILI"
3,"IT","quantile","0.975",5.32784963987102,"2025",15,"ILI"
4,"IT","quantile","0.975",5.16544837816389,"2025",15,"ILI"
1,"IT","quantile","0.99",5.72046306124704,"2025",15,"ILI"
2,"IT","quantile","0.99",5.58568675642824,"2025",15,"ILI"
3,"IT","quantile","0.99",5.4366752276129,"2025",15,"ILI"
4,"IT","quantile","0.99",5.28809062994947,"2025",15,"ILI"
