orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana
1,17,quantile,0.01,12.48545940746731,2024,1
2,17,quantile,0.01,10.694863090491909,2024,1
3,17,quantile,0.01,8.972916709858692,2024,1
4,17,quantile,0.01,7.689853966703839,2024,1
1,17,quantile,0.025,13.2479516411514,2024,1
2,17,quantile,0.025,11.897322708548304,2024,1
3,17,quantile,0.025,10.110543502378723,2024,1
4,17,quantile,0.025,8.544287483418717,2024,1
1,17,quantile,0.05,14.238590230339453,2024,1
2,17,quantile,0.05,12.852739743509906,2024,1
3,17,quantile,0.05,11.1868315186941,2024,1
4,17,quantile,0.05,9.423140663775731,2024,1
1,17,quantile,0.1,15.094912497738903,2024,1
2,17,quantile,0.1,14.090827164586438,2024,1
3,17,quantile,0.1,12.583839680858246,2024,1
4,17,quantile,0.1,10.60370677427535,2024,1
1,17,quantile,0.15,15.73793615074405,2024,1
2,17,quantile,0.15,14.888158860990316,2024,1
3,17,quantile,0.15,13.23639215095752,2024,1
4,17,quantile,0.15,11.306732070249758,2024,1
1,17,quantile,0.2,16.063700208932268,2024,1
2,17,quantile,0.2,15.394404179725608,2024,1
3,17,quantile,0.2,13.996426382549664,2024,1
4,17,quantile,0.2,12.040452734259675,2024,1
1,17,quantile,0.25,16.371071749933186,2024,1
2,17,quantile,0.25,15.823759272165638,2024,1
3,17,quantile,0.25,14.398466359526164,2024,1
4,17,quantile,0.25,12.489838116802805,2024,1
1,17,quantile,0.3,16.71692260115513,2024,1
2,17,quantile,0.3,16.23682985183042,2024,1
3,17,quantile,0.3,14.93751900125914,2024,1
4,17,quantile,0.3,12.99924578563208,2024,1
1,17,quantile,0.35,16.961780117005283,2024,1
2,17,quantile,0.35,16.79830425646497,2024,1
3,17,quantile,0.35,15.485587651286648,2024,1
4,17,quantile,0.35,13.434190844306466,2024,1
1,17,quantile,0.4,17.1994549960887,2024,1
2,17,quantile,0.4,17.177265767758215,2024,1
3,17,quantile,0.4,15.909846484430826,2024,1
4,17,quantile,0.4,13.819619504488909,2024,1
1,17,quantile,0.45,17.499489198592553,2024,1
2,17,quantile,0.45,17.470135899490792,2024,1
3,17,quantile,0.45,16.262494160557406,2024,1
4,17,quantile,0.45,14.319628885058544,2024,1
1,17,quantile,0.5,17.70113964283253,2024,1
2,17,quantile,0.5,17.769832383992625,2024,1
3,17,quantile,0.5,16.809953009132087,2024,1
4,17,quantile,0.5,14.775082676544583,2024,1
1,17,quantile,0.55,17.890728474461998,2024,1
2,17,quantile,0.55,18.11629517029797,2024,1
3,17,quantile,0.55,17.302172554637703,2024,1
4,17,quantile,0.55,15.33241697014652,2024,1
1,17,quantile,0.6,18.079682632276377,2024,1
2,17,quantile,0.6,18.381705222264507,2024,1
3,17,quantile,0.6,17.736234715296586,2024,1
4,17,quantile,0.6,15.776980735020496,2024,1
1,17,quantile,0.65,18.26740806868853,2024,1
2,17,quantile,0.65,18.660942404796383,2024,1
3,17,quantile,0.65,18.097666568156917,2024,1
4,17,quantile,0.65,16.258713158330796,2024,1
1,17,quantile,0.7,18.459768189868083,2024,1
2,17,quantile,0.7,18.91051966992448,2024,1
3,17,quantile,0.7,18.388430938614174,2024,1
4,17,quantile,0.7,16.784648352674797,2024,1
1,17,quantile,0.75,18.683238451185257,2024,1
2,17,quantile,0.75,19.27552211233633,2024,1
3,17,quantile,0.75,18.81753843934262,2024,1
4,17,quantile,0.75,17.34728465597397,2024,1
1,17,quantile,0.8,18.847263433150797,2024,1
2,17,quantile,0.8,19.593909706733008,2024,1
3,17,quantile,0.8,19.37456950423913,2024,1
4,17,quantile,0.8,17.7927988156783,2024,1
1,17,quantile,0.85,19.11609735401324,2024,1
2,17,quantile,0.85,19.95500797287999,2024,1
3,17,quantile,0.85,19.82304525081245,2024,1
4,17,quantile,0.85,18.337859378480047,2024,1
1,17,quantile,0.9,19.36229622852176,2024,1
2,17,quantile,0.9,20.267642972322545,2024,1
3,17,quantile,0.9,20.247598775078995,2024,1
4,17,quantile,0.9,18.805501730477072,2024,1
1,17,quantile,0.95,19.66036771124728,2024,1
2,17,quantile,0.95,20.801354400750817,2024,1
3,17,quantile,0.95,20.61357160787608,2024,1
4,17,quantile,0.95,19.3301739417688,2024,1
1,17,quantile,0.975,19.890467859944675,2024,1
2,17,quantile,0.975,21.02374487605692,2024,1
3,17,quantile,0.975,20.955380357435136,2024,1
4,17,quantile,0.975,19.67194587846353,2024,1
1,17,quantile,0.99,20.16810300463417,2024,1
2,17,quantile,0.99,21.337635812621983,2024,1
3,17,quantile,0.99,21.190747316034727,2024,1
4,17,quantile,0.99,19.892634132333853,2024,1
1,02,quantile,0.01,6.04049190145992,2024,1
2,02,quantile,0.01,1.9625844181561585,2024,1
3,02,quantile,0.01,0.4856230890131494,2024,1
4,02,quantile,0.01,0.1089550141878008,2024,1
1,02,quantile,0.025,6.79618922736679,2024,1
2,02,quantile,0.025,2.6165159749129,2024,1
