orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana,target
-1,17,quantile,0.01,15.364107657616914,2025,51,ARI
0,17,quantile,0.01,16.94569056218335,2025,51,ARI
1,17,quantile,0.01,18.06808995295446,2025,51,ARI
2,17,quantile,0.01,19.097890198530926,2025,51,ARI
3,17,quantile,0.01,18.262994286212045,2025,51,ARI
4,17,quantile,0.01,16.16515219925096,2025,51,ARI
-1,17,quantile,0.025,15.497593626464198,2025,51,ARI
0,17,quantile,0.025,17.0919239487493,2025,51,ARI
1,17,quantile,0.025,18.22644308279095,2025,51,ARI
2,17,quantile,0.025,19.280413585973985,2025,51,ARI
3,17,quantile,0.025,18.63256903848643,2025,51,ARI
4,17,quantile,0.025,16.29369755719432,2025,51,ARI
-1,17,quantile,0.05,15.590567380976466,2025,51,ARI
0,17,quantile,0.05,17.162079209244254,2025,51,ARI
1,17,quantile,0.05,18.368210184565925,2025,51,ARI
2,17,quantile,0.05,19.61199991922193,2025,51,ARI
3,17,quantile,0.05,18.9369299847836,2025,51,ARI
4,17,quantile,0.05,16.596376327274985,2025,51,ARI
-1,17,quantile,0.1,15.731900410601831,2025,51,ARI
0,17,quantile,0.1,17.297535977632652,2025,51,ARI
1,17,quantile,0.1,18.54168657026403,2025,51,ARI
2,17,quantile,0.1,19.98070165733164,2025,51,ARI
3,17,quantile,0.1,19.545897346028724,2025,51,ARI
4,17,quantile,0.1,17.324151828914477,2025,51,ARI
-1,17,quantile,0.15,15.860424645099418,2025,51,ARI
0,17,quantile,0.15,17.3792742201723,2025,51,ARI
1,17,quantile,0.15,18.68501691571453,2025,51,ARI
2,17,quantile,0.15,20.19321648719014,2025,51,ARI
3,17,quantile,0.15,19.911637801632104,2025,51,ARI
4,17,quantile,0.15,17.824375209259678,2025,51,ARI
-1,17,quantile,0.2,15.942209282239403,2025,51,ARI
0,17,quantile,0.2,17.43044343483511,2025,51,ARI
1,17,quantile,0.2,18.792551541266644,2025,51,ARI
2,17,quantile,0.2,20.42934970554857,2025,51,ARI
3,17,quantile,0.2,20.40477500156865,2025,51,ARI
4,17,quantile,0.2,18.14961384144932,2025,51,ARI
-1,17,quantile,0.25,16.04134712996343,2025,51,ARI
0,17,quantile,0.25,17.509688039753527,2025,51,ARI
1,17,quantile,0.25,18.92546210414116,2025,51,ARI
2,17,quantile,0.25,20.79159529207479,2025,51,ARI
3,17,quantile,0.25,20.73704409219094,2025,51,ARI
4,17,quantile,0.25,18.87487430268706,2025,51,ARI
-1,17,quantile,0.3,16.185837607294825,2025,51,ARI
0,17,quantile,0.3,17.566164202467903,2025,51,ARI
1,17,quantile,0.3,19.035697376678915,2025,51,ARI
2,17,quantile,0.3,20.884715358865016,2025,51,ARI
3,17,quantile,0.3,21.129020441301087,2025,51,ARI
4,17,quantile,0.3,19.28992540009434,2025,51,ARI
-1,17,quantile,0.35,16.244187183294674,2025,51,ARI
0,17,quantile,0.35,17.620293421876458,2025,51,ARI
1,17,quantile,0.35,19.111710175297432,2025,51,ARI
2,17,quantile,0.35,21.146734828259813,2025,51,ARI
3,17,quantile,0.35,21.86282720126052,2025,51,ARI
4,17,quantile,0.35,19.990345671714945,2025,51,ARI
-1,17,quantile,0.4,16.320168246824405,2025,51,ARI
0,17,quantile,0.4,17.679892108444466,2025,51,ARI
1,17,quantile,0.4,19.14255818395307,2025,51,ARI
2,17,quantile,0.4,21.33766075294874,2025,51,ARI
3,17,quantile,0.4,22.07988836682598,2025,51,ARI
4,17,quantile,0.4,20.5795633897154,2025,51,ARI
-1,17,quantile,0.45,16.40017652855364,2025,51,ARI
0,17,quantile,0.45,17.721383296237633,2025,51,ARI
1,17,quantile,0.45,19.230926514455355,2025,51,ARI
2,17,quantile,0.45,21.468853269481684,2025,51,ARI
3,17,quantile,0.45,22.33166398109241,2025,51,ARI
