anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
2024,05,01,quantile,0.01,1,7.10
2024,05,01,quantile,0.01,2,4.94
2024,05,01,quantile,0.01,3,3.35
2024,05,01,quantile,0.01,4,2.18
2024,05,01,quantile,0.025,1,7.23
2024,05,01,quantile,0.025,2,5.09
2024,05,01,quantile,0.025,3,3.50
2024,05,01,quantile,0.025,4,2.35
2024,05,01,quantile,0.05,1,7.36
2024,05,01,quantile,0.05,2,5.29
2024,05,01,quantile,0.05,3,3.75
2024,05,01,quantile,0.05,4,2.69
2024,05,01,quantile,0.1,1,7.51
2024,05,01,quantile,0.1,2,5.56
2024,05,01,quantile,0.1,3,4.11
2024,05,01,quantile,0.1,4,3.10
2024,05,01,quantile,0.15,1,7.62
2024,05,01,quantile,0.15,2,5.72
2024,05,01,quantile,0.15,3,4.34
2024,05,01,quantile,0.15,4,3.42
2024,05,01,quantile,0.2,1,7.70
2024,05,01,quantile,0.2,2,5.84
2024,05,01,quantile,0.2,3,4.52
2024,05,01,quantile,0.2,4,3.60
2024,05,01,quantile,0.25,1,7.78
2024,05,01,quantile,0.25,2,5.95
2024,05,01,quantile,0.25,3,4.68
2024,05,01,quantile,0.25,4,3.81
2024,05,01,quantile,0.3,1,7.84
2024,05,01,quantile,0.3,2,6.07
2024,05,01,quantile,0.3,3,4.81
2024,05,01,quantile,0.3,4,3.97
2024,05,01,quantile,0.35,1,7.89
2024,05,01,quantile,0.35,2,6.17
2024,05,01,quantile,0.35,3,4.97
2024,05,01,quantile,0.35,4,4.14
2024,05,01,quantile,0.4,1,7.94
2024,05,01,quantile,0.4,2,6.30
2024,05,01,quantile,0.4,3,5.13
2024,05,01,quantile,0.4,4,4.33
2024,05,01,quantile,0.45,1,8.00
2024,05,01,quantile,0.45,2,6.38
2024,05,01,quantile,0.45,3,5.27
2024,05,01,quantile,0.45,4,4.47
2024,05,01,quantile,0.5,1,8.05
2024,05,01,quantile,0.5,2,6.46
2024,05,01,quantile,0.5,3,5.37
2024,05,01,quantile,0.5,4,4.66
2024,05,01,quantile,0.55,1,8.09
2024,05,01,quantile,0.55,2,6.52
2024,05,01,quantile,0.55,3,5.46
2024,05,01,quantile,0.55,4,4.78
2024,05,01,quantile,0.6,1,8.14
2024,05,01,quantile,0.6,2,6.60
2024,05,01,quantile,0.6,3,5.54
2024,05,01,quantile,0.6,4,4.85
2024,05,01,quantile,0.65,1,8.20
2024,05,01,quantile,0.65,2,6.69
2024,05,01,quantile,0.65,3,5.64
2024,05,01,quantile,0.65,4,4.94
2024,05,01,quantile,0.7,1,8.25
2024,05,01,quantile,0.7,2,6.77
2024,05,01,quantile,0.7,3,5.80
2024,05,01,quantile,0.7,4,5.14
2024,05,01,quantile,0.75,1,8.31
2024,05,01,quantile,0.75,2,6.88
2024,05,01,quantile,0.75,3,5.95
2024,05,01,quantile,0.75,4,5.42
2024,05,01,quantile,0.8,1,8.38
2024,05,01,quantile,0.8,2,6.98
2024,05,01,quantile,0.8,3,6.08
2024,05,01,quantile,0.8,4,5.54
2024,05,01,quantile,0.85,1,8.44
2024,05,01,quantile,0.85,2,7.08
2024,05,01,quantile,0.85,3,6.20
2024,05,01,quantile,0.85,4,5.67
2024,05,01,quantile,0.9,1,8.52
2024,05,01,quantile,0.9,2,7.16
2024,05,01,quantile,0.9,3,6.28
2024,05,01,quantile,0.9,4,5.73
2024,05,01,quantile,0.95,1,8.63
2024,05,01,quantile,0.95,2,7.27
2024,05,01,quantile,0.95,3,6.37
