anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2024,50,01,quantile,0.01,1,9.07,ILI
2024,50,01,quantile,0.01,2,7.70,ILI
2024,50,01,quantile,0.01,3,6.32,ILI
2024,50,01,quantile,0.01,4,4.93,ILI
2024,50,01,quantile,0.025,1,9.15,ILI
2024,50,01,quantile,0.025,2,7.81,ILI
2024,50,01,quantile,0.025,3,6.49,ILI
2024,50,01,quantile,0.025,4,5.36,ILI
2024,50,01,quantile,0.05,1,9.24,ILI
2024,50,01,quantile,0.05,2,7.95,ILI
2024,50,01,quantile,0.05,3,6.75,ILI
2024,50,01,quantile,0.05,4,5.64,ILI
2024,50,01,quantile,0.1,1,9.38,ILI
2024,50,01,quantile,0.1,2,8.12,ILI
2024,50,01,quantile,0.1,3,6.96,ILI
2024,50,01,quantile,0.1,4,6.04,ILI
2024,50,01,quantile,0.15,1,9.50,ILI
2024,50,01,quantile,0.15,2,8.24,ILI
2024,50,01,quantile,0.15,3,7.09,ILI
2024,50,01,quantile,0.15,4,6.19,ILI
2024,50,01,quantile,0.2,1,9.62,ILI
2024,50,01,quantile,0.2,2,8.37,ILI
2024,50,01,quantile,0.2,3,7.25,ILI
2024,50,01,quantile,0.2,4,6.29,ILI
2024,50,01,quantile,0.25,1,9.76,ILI
2024,50,01,quantile,0.25,2,8.54,ILI
2024,50,01,quantile,0.25,3,7.38,ILI
2024,50,01,quantile,0.25,4,6.45,ILI
2024,50,01,quantile,0.3,1,9.86,ILI
2024,50,01,quantile,0.3,2,8.68,ILI
2024,50,01,quantile,0.3,3,7.54,ILI
2024,50,01,quantile,0.3,4,6.61,ILI
2024,50,01,quantile,0.35,1,9.96,ILI
2024,50,01,quantile,0.35,2,8.82,ILI
2024,50,01,quantile,0.35,3,7.67,ILI
2024,50,01,quantile,0.35,4,6.76,ILI
2024,50,01,quantile,0.4,1,10.05,ILI
2024,50,01,quantile,0.4,2,8.93,ILI
2024,50,01,quantile,0.4,3,7.79,ILI
2024,50,01,quantile,0.4,4,6.88,ILI
2024,50,01,quantile,0.45,1,10.15,ILI
2024,50,01,quantile,0.45,2,9.05,ILI
2024,50,01,quantile,0.45,3,7.94,ILI
2024,50,01,quantile,0.45,4,6.98,ILI
2024,50,01,quantile,0.5,1,10.24,ILI
2024,50,01,quantile,0.5,2,9.15,ILI
2024,50,01,quantile,0.5,3,8.07,ILI
2024,50,01,quantile,0.5,4,7.10,ILI
2024,50,01,quantile,0.55,1,10.34,ILI
2024,50,01,quantile,0.55,2,9.35,ILI
2024,50,01,quantile,0.55,3,8.26,ILI
2024,50,01,quantile,0.55,4,7.27,ILI
2024,50,01,quantile,0.6,1,10.47,ILI
2024,50,01,quantile,0.6,2,9.58,ILI
2024,50,01,quantile,0.6,3,8.55,ILI
2024,50,01,quantile,0.6,4,7.59,ILI
2024,50,01,quantile,0.65,1,10.63,ILI
2024,50,01,quantile,0.65,2,9.84,ILI
2024,50,01,quantile,0.65,3,8.88,ILI
2024,50,01,quantile,0.65,4,7.90,ILI
2024,50,01,quantile,0.7,1,10.79,ILI
2024,50,01,quantile,0.7,2,10.07,ILI
2024,50,01,quantile,0.7,3,9.17,ILI
2024,50,01,quantile,0.7,4,8.25,ILI
2024,50,01,quantile,0.75,1,10.96,ILI
2024,50,01,quantile,0.75,2,10.26,ILI
2024,50,01,quantile,0.75,3,9.43,ILI
2024,50,01,quantile,0.75,4,8.52,ILI
2024,50,01,quantile,0.8,1,11.10,ILI
2024,50,01,quantile,0.8,2,10.49,ILI
2024,50,01,quantile,0.8,3,9.66,ILI
2024,50,01,quantile,0.8,4,8.79,ILI
2024,50,01,quantile,0.85,1,11.27,ILI
2024,50,01,quantile,0.85,2,10.75,ILI
2024,50,01,quantile,0.85,3,10.01,ILI
2024,50,01,quantile,0.85,4,9.13,ILI
2024,50,01,quantile,0.9,1,11.49,ILI
2024,50,01,quantile,0.9,2,11.11,ILI
2024,50,01,quantile,0.9,3,10.38,ILI
2024,50,01,quantile,0.9,4,9.56,ILI
2024,50,01,quantile,0.95,1,11.81,ILI
2024,50,01,quantile,0.95,2,11.53,ILI
2024,50,01,quantile,0.95,3,10.98,ILI
2024,50,01,quantile,0.95,4,10.19,ILI
2024,50,01,quantile,0.975,1,12.06,ILI
2024,50,01,quantile,0.975,2,12.01,ILI
2024,50,01,quantile,0.975,3,11.61,ILI
2024,50,01,quantile,0.975,4,10.89,ILI
2024,50,01,quantile,0.99,1,12.33,ILI
2024,50,01,quantile,0.99,2,12.46,ILI
2024,50,01,quantile,0.99,3,12.17,ILI
2024,50,01,quantile,0.99,4,11.70,ILI
2024,50,04,quantile,0.01,1,10.03,ILI
2024,50,04,quantile,0.01,2,7.59,ILI
2024,50,04,quantile,0.01,3,5.50,ILI
2024,50,04,quantile,0.01,4,4.00,ILI
2024,50,04,quantile,0.025,1,10.14,ILI
2024,50,04,quantile,0.025,2,7.73,ILI
2024,50,04,quantile,0.025,3,5.59,ILI
2024,50,04,quantile,0.025,4,4.09,ILI
2024,50,04,quantile,0.05,1,10.33,ILI
2024,50,04,quantile,0.05,2,8.10,ILI
2024,50,04,quantile,0.05,3,5.93,ILI
2024,50,04,quantile,0.05,4,4.29,ILI
2024,50,04,quantile,0.1,1,10.63,ILI
2024,50,04,quantile,0.1,2,8.52,ILI
2024,50,04,quantile,0.1,3,6.31,ILI
2024,50,04,quantile,0.1,4,4.63,ILI
2024,50,04,quantile,0.15,1,10.86,ILI
2024,50,04,quantile,0.15,2,8.91,ILI
2024,50,04,quantile,0.15,3,6.77,ILI
2024,50,04,quantile,0.15,4,4.96,ILI
2024,50,04,quantile,0.2,1,11.04,ILI
2024,50,04,quantile,0.2,2,9.18,ILI
2024,50,04,quantile,0.2,3,6.99,ILI
2024,50,04,quantile,0.2,4,5.11,ILI
2024,50,04,quantile,0.25,1,11.24,ILI
2024,50,04,quantile,0.25,2,9.47,ILI
2024,50,04,quantile,0.25,3,7.28,ILI
2024,50,04,quantile,0.25,4,5.47,ILI
2024,50,04,quantile,0.3,1,11.42,ILI
2024,50,04,quantile,0.3,2,9.78,ILI
2024,50,04,quantile,0.3,3,7.70,ILI
2024,50,04,quantile,0.3,4,5.74,ILI
2024,50,04,quantile,0.35,1,11.57,ILI
2024,50,04,quantile,0.35,2,10.02,ILI
2024,50,04,quantile,0.35,3,7.94,ILI
2024,50,04,quantile,0.35,4,6.04,ILI
2024,50,04,quantile,0.4,1,11.71,ILI
2024,50,04,quantile,0.4,2,10.20,ILI
2024,50,04,quantile,0.4,3,8.22,ILI
2024,50,04,quantile,0.4,4,6.29,ILI
2024,50,04,quantile,0.45,1,11.85,ILI
2024,50,04,quantile,0.45,2,10.45,ILI
2024,50,04,quantile,0.45,3,8.49,ILI
2024,50,04,quantile,0.45,4,6.51,ILI
2024,50,04,quantile,0.5,1,11.99,ILI
2024,50,04,quantile,0.5,2,10.76,ILI
2024,50,04,quantile,0.5,3,8.86,ILI
2024,50,04,quantile,0.5,4,6.92,ILI
2024,50,04,quantile,0.55,1,12.14,ILI
2024,50,04,quantile,0.55,2,11.11,ILI
2024,50,04,quantile,0.55,3,9.38,ILI
2024,50,04,quantile,0.55,4,7.40,ILI
