target,orizzonte,luogo,tipo_valore,id_valore,valore,settimana,anno
ARI incidence,1,IT,quantile,0.01,14.647937744463768,50,2025
ARI incidence,1,IT,quantile,0.025,14.856685001772693,50,2025
ARI incidence,1,IT,quantile,0.05,15.029809554740956,50,2025
ARI incidence,1,IT,quantile,0.1,15.22353696665993,50,2025
ARI incidence,1,IT,quantile,0.15,15.351426637911915,50,2025
ARI incidence,1,IT,quantile,0.2,15.451799503578561,50,2025
ARI incidence,1,IT,quantile,0.25,15.53719351476509,50,2025
ARI incidence,1,IT,quantile,0.3,15.61343185280944,50,2025
ARI incidence,1,IT,quantile,0.35,15.683785513514207,50,2025
ARI incidence,1,IT,quantile,0.4,15.750353861733393,50,2025
ARI incidence,1,IT,quantile,0.45,15.814643790386643,50,2025
ARI incidence,1,IT,quantile,0.5,15.877859395617008,50,2025
ARI incidence,1,IT,quantile,0.55,15.941075000847373,50,2025
ARI incidence,1,IT,quantile,0.6,16.005364929500626,50,2025
ARI incidence,1,IT,quantile,0.65,16.071933277719808,50,2025
ARI incidence,1,IT,quantile,0.7,16.14228693842458,50,2025
ARI incidence,1,IT,quantile,0.75,16.218525276468927,50,2025
ARI incidence,1,IT,quantile,0.8,16.303919287655457,50,2025
ARI incidence,1,IT,quantile,0.85,16.404292153322103,50,2025
ARI incidence,1,IT,quantile,0.9,16.53218182457409,50,2025
ARI incidence,1,IT,quantile,0.95,16.72590923649306,50,2025
ARI incidence,1,IT,quantile,0.975,16.899033789461324,50,2025
ARI incidence,1,IT,quantile,0.99,17.10778104677025,50,2025
ARI incidence,2,IT,quantile,0.01,15.075679305499605,50,2025
ARI incidence,2,IT,quantile,0.025,15.483468442514035,50,2025
ARI incidence,2,IT,quantile,0.05,15.821210225231088,50,2025
ARI incidence,2,IT,quantile,0.1,16.198723659224846,50,2025
ARI incidence,2,IT,quantile,0.15,16.44773666608032,50,2025
ARI incidence,2,IT,quantile,0.2,16.643079744997678,50,2025
ARI incidence,2,IT,quantile,0.25,16.809219197814983,50,2025
ARI incidence,2,IT,quantile,0.3,16.95751305444457,50,2025
ARI incidence,2,IT,quantile,0.35,17.094339080966,50,2025
ARI incidence,2,IT,quantile,0.4,17.223789411998464,50,2025
ARI incidence,2,IT,quantile,0.45,17.348800622933133,50,2025
ARI incidence,2,IT,quantile,0.5,17.47171879909767,50,2025
ARI incidence,2,IT,quantile,0.55,17.594636975262205,50,2025
ARI incidence,2,IT,quantile,0.6,17.719648186196874,50,2025
ARI incidence,2,IT,quantile,0.65,17.849098517229336,50,2025
ARI incidence,2,IT,quantile,0.7,17.98592454375077,50,2025
ARI incidence,2,IT,quantile,0.75,18.134218400380355,50,2025
ARI incidence,2,IT,quantile,0.8,18.30035785319766,50,2025
ARI incidence,2,IT,quantile,0.85,18.495700932115017,50,2025
ARI incidence,2,IT,quantile,0.9,18.74471393897049,50,2025
ARI incidence,2,IT,quantile,0.95,19.12222737296425,50,2025
