anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore,target
2026,01,IT,quantile,0.01,-1,14.7404,ARI
2026,01,IT,quantile,0.01,0,13.8992,ARI
2026,01,IT,quantile,0.01,1,11.9447,ARI
2026,01,IT,quantile,0.01,2,9.8166,ARI
2026,01,IT,quantile,0.01,3,7.5955,ARI
2026,01,IT,quantile,0.01,4,5.6997,ARI
2026,01,IT,quantile,0.025,-1,14.8141,ARI
2026,01,IT,quantile,0.025,0,13.9502,ARI
2026,01,IT,quantile,0.025,1,12.1303,ARI
2026,01,IT,quantile,0.025,2,10.0655,ARI
2026,01,IT,quantile,0.025,3,8.0339,ARI
2026,01,IT,quantile,0.025,4,6.2704,ARI
2026,01,IT,quantile,0.05,-1,14.8551,ARI
2026,01,IT,quantile,0.05,0,13.99,ARI
2026,01,IT,quantile,0.05,1,12.2675,ARI
2026,01,IT,quantile,0.05,2,10.2116,ARI
2026,01,IT,quantile,0.05,3,8.214,ARI
2026,01,IT,quantile,0.05,4,6.4399,ARI
2026,01,IT,quantile,0.1,-1,14.8926,ARI
2026,01,IT,quantile,0.1,0,14.0412,ARI
2026,01,IT,quantile,0.1,1,12.3569,ARI
2026,01,IT,quantile,0.1,2,10.3768,ARI
2026,01,IT,quantile,0.1,3,8.4188,ARI
2026,01,IT,quantile,0.1,4,6.6756,ARI
2026,01,IT,quantile,0.15,-1,14.9284,ARI
2026,01,IT,quantile,0.15,0,14.0646,ARI
2026,01,IT,quantile,0.15,1,12.4109,ARI
2026,01,IT,quantile,0.15,2,10.4725,ARI
2026,01,IT,quantile,0.15,3,8.5403,ARI
2026,01,IT,quantile,0.15,4,6.8167,ARI
2026,01,IT,quantile,0.2,-1,14.9558,ARI
2026,01,IT,quantile,0.2,0,14.0809,ARI
2026,01,IT,quantile,0.2,1,12.4868,ARI
2026,01,IT,quantile,0.2,2,10.5692,ARI
2026,01,IT,quantile,0.2,3,8.6677,ARI
2026,01,IT,quantile,0.2,4,6.9484,ARI
2026,01,IT,quantile,0.25,-1,14.9764,ARI
2026,01,IT,quantile,0.25,0,14.0952,ARI
2026,01,IT,quantile,0.25,1,12.533,ARI
2026,01,IT,quantile,0.25,2,10.6917,ARI
2026,01,IT,quantile,0.25,3,8.8252,ARI
2026,01,IT,quantile,0.25,4,7.1121,ARI
2026,01,IT,quantile,0.3,-1,14.9876,ARI
2026,01,IT,quantile,0.3,0,14.1153,ARI
2026,01,IT,quantile,0.3,1,12.5791,ARI
2026,01,IT,quantile,0.3,2,10.7541,ARI
2026,01,IT,quantile,0.3,3,8.9077,ARI
2026,01,IT,quantile,0.3,4,7.2172,ARI
2026,01,IT,quantile,0.35,-1,15.0057,ARI
2026,01,IT,quantile,0.35,0,14.1241,ARI
2026,01,IT,quantile,0.35,1,12.6138,ARI
2026,01,IT,quantile,0.35,2,10.8257,ARI
2026,01,IT,quantile,0.35,3,9.0311,ARI
2026,01,IT,quantile,0.35,4,7.3557,ARI
2026,01,IT,quantile,0.4,-1,15.0208,ARI
2026,01,IT,quantile,0.4,0,14.1393,ARI
2026,01,IT,quantile,0.4,1,12.6649,ARI
2026,01,IT,quantile,0.4,2,10.9174,ARI
2026,01,IT,quantile,0.4,3,9.1289,ARI
2026,01,IT,quantile,0.4,4,7.4566,ARI
2026,01,IT,quantile,0.45,-1,15.0365,ARI
2026,01,IT,quantile,0.45,0,14.1469,ARI
2026,01,IT,quantile,0.45,1,12.7042,ARI
2026,01,IT,quantile,0.45,2,10.9824,ARI
2026,01,IT,quantile,0.45,3,9.1952,ARI
2026,01,IT,quantile,0.45,4,7.5225,ARI
2026,01,IT,quantile,0.5,-1,15.0564,ARI
2026,01,IT,quantile,0.5,0,14.1599,ARI
2026,01,IT,quantile,0.5,1,12.7377,ARI
2026,01,IT,quantile,0.5,2,11.0367,ARI
2026,01,IT,quantile,0.5,3,9.2604,ARI
2026,01,IT,quantile,0.5,4,7.5951,ARI
2026,01,IT,quantile,0.55,-1,15.0777,ARI
2026,01,IT,quantile,0.55,0,14.172,ARI
2026,01,IT,quantile,0.55,1,12.7656,ARI
2026,01,IT,quantile,0.55,2,11.0837,ARI
2026,01,IT,quantile,0.55,3,9.3393,ARI
2026,01,IT,quantile,0.55,4,7.6912,ARI
2026,01,IT,quantile,0.6,-1,15.0924,ARI
2026,01,IT,quantile,0.6,0,14.1816,ARI
2026,01,IT,quantile,0.6,1,12.8054,ARI
2026,01,IT,quantile,0.6,2,11.1663,ARI
2026,01,IT,quantile,0.6,3,9.4417,ARI
2026,01,IT,quantile,0.6,4,7.7941,ARI
2026,01,IT,quantile,0.65,-1,15.1176,ARI
2026,01,IT,quantile,0.65,0,14.1942,ARI
2026,01,IT,quantile,0.65,1,12.832,ARI
2026,01,IT,quantile,0.65,2,11.2066,ARI
2026,01,IT,quantile,0.65,3,9.514,ARI
2026,01,IT,quantile,0.65,4,7.8957,ARI
2026,01,IT,quantile,0.7,-1,15.1434,ARI
2026,01,IT,quantile,0.7,0,14.2081,ARI
2026,01,IT,quantile,0.7,1,12.8634,ARI
2026,01,IT,quantile,0.7,2,11.2606,ARI
2026,01,IT,quantile,0.7,3,9.5878,ARI
2026,01,IT,quantile,0.7,4,7.9871,ARI
2026,01,IT,quantile,0.75,-1,15.1629,ARI
2026,01,IT,quantile,0.75,0,14.2191,ARI
2026,01,IT,quantile,0.75,1,12.8915,ARI
2026,01,IT,quantile,0.75,2,11.3239,ARI
