model_name,team_name,orizzonte,data_inizio,data_fine,luogo,target,p_baseline,p_low,p_medium,p_high,p_very_high,influmeter_index
Ensemble,Influcast,1,2026-02-23,2026-03-01,01,ARI,33.11,66.89,0.0,0.0,0.0,21.6
Ensemble,Influcast,2,2026-03-02,2026-03-08,01,ARI,67.88,32.12,0.0,0.0,0.0,18.46
Ensemble,Influcast,3,2026-03-09,2026-03-15,01,ARI,86.65,13.35,0.0,0.0,0.0,16.15
Ensemble,Influcast,4,2026-03-16,2026-03-22,01,ARI,97.1,2.9,0.0,0.0,0.0,14.22
Ensemble,Influcast,1,2026-02-23,2026-03-01,02,ARI,15.68,84.32,0.0,0.0,0.0,24.01
Ensemble,Influcast,2,2026-03-02,2026-03-08,02,ARI,60.77,39.23,0.0,0.0,0.0,18.96
Ensemble,Influcast,3,2026-03-09,2026-03-15,02,ARI,83.89,16.11,0.0,0.0,0.0,15.62
Ensemble,Influcast,4,2026-03-16,2026-03-22,02,ARI,94.71,5.29,0.0,0.0,0.0,13.1
Ensemble,Influcast,1,2026-02-23,2026-03-01,03,ARI,55.73,44.27,0.0,0.0,0.0,19.38
Ensemble,Influcast,2,2026-03-02,2026-03-08,03,ARI,71.94,28.06,0.0,0.0,0.0,17.09
Ensemble,Influcast,3,2026-03-09,2026-03-15,03,ARI,81.35,18.65,0.0,0.0,0.0,15.29
Ensemble,Influcast,4,2026-03-16,2026-03-22,03,ARI,88.81,11.19,0.0,0.0,0.0,13.68
Ensemble,Influcast,1,2026-02-23,2026-03-01,04,ARI,24.65,75.35,0.0,0.0,0.0,22.61
Ensemble,Influcast,2,2026-03-02,2026-03-08,04,ARI,72.86,27.14,0.0,0.0,0.0,17.57
Ensemble,Influcast,3,2026-03-09,2026-03-15,04,ARI,91.63,8.37,0.0,0.0,0.0,14.11
Ensemble,Influcast,4,2026-03-16,2026-03-22,04,ARI,98.66,1.34,0.0,0.0,0.0,11.48
Ensemble,Influcast,1,2026-02-23,2026-03-01,05,ARI,51.44,48.56,0.0,0.0,0.0,19.87
Ensemble,Influcast,2,2026-03-02,2026-03-08,05,ARI,80.04,19.96,0.0,0.0,0.0,17.21
Ensemble,Influcast,3,2026-03-09,2026-03-15,05,ARI,92.02,7.98,0.0,0.0,0.0,15.07
Ensemble,Influcast,4,2026-03-16,2026-03-22,05,ARI,97.81,2.19,0.0,0.0,0.0,13.27
Ensemble,Influcast,1,2026-02-23,2026-03-01,06,ARI,53.56,46.44,0.0,0.0,0.0,19.67
Ensemble,Influcast,2,2026-03-02,2026-03-08,06,ARI,79.11,20.89,0.0,0.0,0.0,16.83
Ensemble,Influcast,3,2026-03-09,2026-03-15,06,ARI,92.11,7.89,0.0,0.0,0.0,14.47
Ensemble,Influcast,4,2026-03-16,2026-03-22,06,ARI,97.41,2.59,0.0,0.0,0.0,12.42
Ensemble,Influcast,1,2026-02-23,2026-03-01,07,ARI,72.6,27.4,0.0,0.0,0.0,18.15
Ensemble,Influcast,2,2026-03-02,2026-03-08,07,ARI,88.94,11.06,0.0,0.0,0.0,15.99
Ensemble,Influcast,3,2026-03-09,2026-03-15,07,ARI,95.71,4.29,0.0,0.0,0.0,14.26
Ensemble,Influcast,4,2026-03-16,2026-03-22,07,ARI,99.7,0.3,0.0,0.0,0.0,12.8
Ensemble,Influcast,1,2026-02-23,2026-03-01,08,ARI,81.05,18.95,0.0,0.0,0.0,15.89
Ensemble,Influcast,2,2026-03-02,2026-03-08,08,ARI,90.91,9.09,0.0,0.0,0.0,13.98
Ensemble,Influcast,3,2026-03-09,2026-03-15,08,ARI,96.59,3.41,0.0,0.0,0.0,12.38
Ensemble,Influcast,4,2026-03-16,2026-03-22,08,ARI,99.34,0.66,0.0,0.0,0.0,11.02
Ensemble,Influcast,1,2026-02-23,2026-03-01,09,ARI,89.3,10.7,0.0,0.0,0.0,16.76
Ensemble,Influcast,2,2026-03-02,2026-03-08,09,ARI,95.29,4.71,0.0,0.0,0.0,14.85
Ensemble,Influcast,3,2026-03-09,2026-03-15,09,ARI,98.59,1.41,0.0,0.0,0.0,13.33
Ensemble,Influcast,4,2026-03-16,2026-03-22,09,ARI,100.0,0.0,0.0,0.0,0.0,12.05
Ensemble,Influcast,1,2026-02-23,2026-03-01,10,ARI,9.8,90.2,0.0,0.0,0.0,24.69
