anno,settimana,incidenza,numero_casi,numero_assistiti
2009,42,1.76,1411,800360
2009,43,4.49,6379,1419989
2009,44,9.31,13716,1472629
2009,45,12.65,18893,1494023
2009,46,12.92,19515,1509971
2009,47,11.02,16318,1480887
2009,48,6.72,9989,1486770
2009,49,3.76,5269,1400389
2009,50,2.25,3284,1457341
2009,51,1.84,2707,1471026
2009,52,1.32,1870,1420740
2009,53,1.29,1726,1337006
2010,01,1.36,1966,1443528
2010,02,1.47,2169,1480339
2010,03,1.67,2451,1466107
2010,04,1.91,2798,1463800
2010,05,2.0,2916,1458557
2010,06,2.12,3011,1423086
2010,07,2.07,2945,1425207
2010,08,1.98,2802,1416534
2010,09,1.81,2508,1387460
2010,10,1.65,2288,1386900
2010,11,1.38,1872,1352529
2010,12,1.28,1693,1318026
