anno,settimana,incidenza,numero_casi,numero_assistiti
2012,44,0.51,95.0,184625.0
2012,45,0.67,126.0,187947.0
2012,46,0.67,132.0,195679.0
2012,47,0.98,183.0,187568.0
2012,48,1.12,225.0,200168.0
2012,49,1.18,236.0,199864.0
2012,50,1.86,363.0,195582.0
2012,51,2.23,364.0,162873.0
2012,52,2.23,364.0,162873.0
2013,01,3.13,563.0,180064.0
2013,02,4.31,891.0,206942.0
2013,03,5.85,1143.0,195384.0
2013,04,7.66,1494.0,194946.0
2013,05,8.48,1677.0,197670.0
2013,06,7.95,1617.0,203473.0
2013,07,6.76,1304.0,192864.0
2013,08,6.05,1186.0,195948.0
2013,09,4.73,936.0,197727.0
