anno,settimana,incidenza,numero_casi,numero_assistiti
2012,44,0.0,0.0,0.0
2012,45,0.43,5.0,11578.0
2012,46,0.88,8.0,9046.0
2012,47,1.46,15.0,10250.0
2012,48,0.72,8.0,11118.0
2012,49,0.66,10.0,15191.0
2012,50,1.32,18.0,13650.0
2012,51,1.32,18.0,13650.0
2012,52,1.34,6.0,4481.0
2013,01,1.51,18.0,11918.0
2013,02,3.36,51.0,15191.0
2013,03,5.17,61.0,11791.0
2013,04,4.71,78.0,16571.0
2013,05,4.28,74.0,17296.0
2013,06,8.04,139.0,17282.0
2013,07,5.47,88.0,16086.0
2013,08,6.76,117.0,17296.0
2013,09,6.28,120.0,19103.0
2013,10,4.55,75.0,16495.0
2013,11,3.81,52.0,13650.0
2013,12,1.56,18.0,11519.0
2013,13,0.59,7.0,11918.0
2013,14,1.12,10.0,8899.0
2013,15,0.9,10.0,11118.0
2013,16,0.45,5.0,11118.0
