anno,settimana,incidenza,numero_casi,numero_assistiti
2015,44,0.0,0.0,2908.0
2015,45,0.0,0.0,2908.0
2015,46,0.0,0.0,3018.0
2015,47,0.0,0.0,3018.0
2015,48,0.0,0.0,3018.0
2015,49,0.0,0.0,1610.0
2015,50,0.0,0.0,3018.0
2015,51,0.0,0.0,3018.0
2015,52,0.0,0.0,6036.0
2015,53,0.0,0.0,3018.0
2016,01,1.33,4.0,3018.0
2016,02,0.66,2.0,3018.0
2016,03,0.66,2.0,3018.0
2016,04,1.24,2.0,1610.0
2016,05,3.31,10.0,3018.0
2016,06,3.98,12.0,3018.0
2016,07,2.98,9.0,3018.0
2016,08,4.97,8.0,1610.0
2016,09,3.73,6.0,1610.0
2016,10,3.73,6.0,1610.0
2016,11,3.11,5.0,1610.0
2016,12,3.11,5.0,1610.0
2016,13,1.24,2.0,1610.0
