anno,settimana,incidenza,numero_casi,numero_assistiti
2016,44,1.09,52.0,47789.0
2016,45,0.64,34.0,53005.0
2016,46,0.79,40.0,50700.0
2016,47,1.0,49.0,49060.0
2016,48,1.18,59.0,49841.0
2016,49,1.41,68.0,48357.0
2016,50,3.14,159.0,50577.0
2016,51,4.75,225.0,47348.0
2016,52,8.24,376.0,45647.0
2017,01,8.5,430.0,50603.0
2017,02,7.54,379.0,50296.0
2017,03,7.1,308.0,43389.0
2017,04,6.19,284.0,45856.0
2017,05,4.26,218.0,51195.0
2017,06,3.25,148.0,45494.0
2017,07,2.9,127.0,43769.0
2017,08,2.22,110.0,49439.0
2017,09,1.61,76.0,47330.0
2017,10,1.47,71.0,48152.0
2017,11,0.76,34.0,44915.0
2017,12,1.01,42.0,41408.0
2017,13,0.59,27.0,45882.0
2017,14,0.56,25.0,44470.0
2017,15,0.39,16.0,41373.0
2017,16,0.91,38.0,41840.0
2017,17,0.67,28.0,41739.0
