anno,settimana,incidenza,numero_casi,numero_assistiti
2016,44,1.47,17.0,11538.0
2016,45,0.44,4.0,9159.0
2016,46,0.0,0.0,0.0
2016,47,0.0,0.0,0.0
2016,48,0.0,0.0,0.0
2016,49,2.28,32.0,14022.0
2016,50,0.0,0.0,0.0
2016,51,0.0,0.0,0.0
2016,52,12.9,20.0,1550.0
2017,01,0.0,0.0,0.0
2017,02,4.22,4.0,947.0
2017,03,0.0,0.0,0.0
2017,04,3.5,36.0,10275.0
2017,05,0.0,0.0,0.0
2017,06,0.0,0.0,0.0
2017,07,0.0,0.0,0.0
2017,08,0.0,0.0,0.0
2017,09,0.0,0.0,0.0
2017,10,0.0,0.0,0.0
2017,11,2.69,31.0,11525.0
2017,12,0.0,0.0,0.0
2017,13,0.0,0.0,0.0
2017,14,0.0,0.0,0.0
2017,15,2.24,19.0,8469.0
