anno,settimana,incidenza,numero_casi,numero_assistiti
2016,44,2.43,30.0,12323.0
2016,45,2.63,35.0,13332.0
2016,46,2.89,48.0,16610.0
2016,47,3.69,57.0,15461.0
2016,48,3.99,63.0,15798.0
2016,49,5.46,89.0,16293.0
2016,50,7.36,91.0,12368.0
2016,51,11.18,112.0,10020.0
2016,52,12.61,176.0,13953.0
2017,01,8.57,106.0,12368.0
2017,02,12.54,175.0,13953.0
2017,03,12.36,164.0,13265.0
2017,04,14.22,198.0,13923.0
2017,05,11.77,164.0,13928.0
2017,06,13.27,179.0,13487.0
2017,07,7.12,116.0,16293.0
2017,08,6.14,76.0,12368.0
2017,09,4.46,51.0,11440.0
2017,10,4.63,61.0,13166.0
