anno,settimana,incidenza,numero_casi,numero_assistiti
2016,44,0.5,54.0,108024.0
2016,45,0.7,77.0,110495.0
2016,46,0.78,94.0,119767.0
2016,47,0.97,115.0,118041.0
2016,48,0.98,114.0,116646.0
2016,49,1.18,147.0,124288.0
2016,50,2.33,259.0,111381.0
2016,51,3.11,255.0,82057.0
2016,52,4.76,470.0,98830.0
2017,01,6.18,699.0,113095.0
2017,02,8.34,989.0,118614.0
2017,03,9.12,1096.0,120118.0
2017,04,9.07,1118.0,123269.0
2017,05,8.67,1066.0,122894.0
2017,06,6.5,782.0,120362.0
2017,07,4.84,561.0,115906.0
2017,08,2.91,340.0,116983.0
2017,09,2.29,275.0,120146.0
2017,10,1.63,198.0,121471.0
2017,11,1.34,146.0,108718.0
2017,12,1.02,122.0,120062.0
2017,13,0.77,83.0,108408.0
