anno,settimana,incidenza,numero_casi,numero_assistiti
2018,43,0.56,65.0,116777.0
2018,44,0.61,76.0,125018.0
2018,45,1.1,138.0,125585.0
2018,46,1.54,187.0,121438.0
2018,47,1.87,242.0,129469.0
2018,48,1.97,240.0,121930.0
2018,49,2.66,334.0,125707.0
2018,50,3.4,429.0,126162.0
2018,51,4.01,513.0,127812.0
2018,52,4.91,625.0,127378.0
2019,01,6.32,828.0,130953.0
2019,02,8.69,1109.0,127628.0
2019,03,10.94,1384.0,126518.0
2019,04,13.21,1758.0,133119.0
2019,05,14.34,1836.0,128053.0
2019,06,12.78,1655.0,129500.0
2019,07,11.06,1431.0,129423.0
2019,08,9.2,1135.0,123421.0
2019,09,7.01,869.0,123990.0
2019,10,5.38,701.0,130271.0
2019,11,3.46,452.0,130793.0
2019,12,2.47,289.0,117072.0
