anno,settimana,incidenza,numero_casi,numero_assistiti
2018,43,0.37,4.0,10903.0
2018,44,0.0,0.0,9352.0
2018,45,0.34,5.0,14555.0
2018,46,0.51,5.0,9849.0
2018,47,0.44,4.0,9047.0
2018,48,0.17,1.0,5975.0
2018,49,0.0,0.0,8772.0
2018,50,0.66,8.0,12159.0
2018,51,0.42,2.0,4759.0
2018,52,2.56,14.0,5471.0
2019,01,1.04,13.0,12503.0
2019,02,1.42,9.0,6317.0
2019,03,2.65,27.0,10183.0
2019,04,3.25,31.0,9530.0
2019,05,3.7,55.0,14884.0
2019,06,5.6,78.0,13923.0
2019,07,6.08,19.0,3124.0
2019,08,3.29,47.0,14289.0
2019,09,4.33,54.0,12464.0
2019,10,4.23,54.0,12778.0
2019,11,8.11,61.0,7522.0
2019,12,8.19,102.0,12456.0
2019,13,5.64,86.0,15236.0
2019,14,1.0,9.0,9004.0
2019,15,3.12,15.0,4811.0
