anno,settimana,incidenza,numero_casi,numero_assistiti
2018,43,0.0,0.0,0.0
2018,44,0.0,0.0,0.0
2018,45,0.0,0.0,0.0
2018,46,0.0,0.0,2185.0
2018,47,2.13,7.0,3290.0
2018,48,1.64,9.0,5472.0
2018,49,2.25,12.0,5326.0
2018,50,2.0,13.0,6513.0
2018,51,4.02,14.0,3481.0
2018,52,0.96,3.0,3141.0
2019,01,2.89,13.0,4501.0
2019,02,5.25,23.0,4379.0
2019,03,4.62,12.0,2598.0
2019,04,6.35,48.0,7564.0
2019,05,12.14,116.0,9555.0
2019,06,9.83,64.0,6513.0
2019,07,6.17,47.0,7618.0
2019,08,6.18,41.0,6632.0
2019,09,3.28,22.0,6710.0
2019,10,1.68,10.0,5939.0
2019,11,1.37,6.0,4379.0
2019,12,1.48,4.0,2707.0
2019,13,0.29,1.0,3481.0
2019,14,0.0,0.0,1672.0
2019,15,0.0,0.0,3141.0
2019,16,0.74,2.0,2707.0
