anno,settimana,incidenza,numero_casi,numero_assistiti
2018,43,0.26,28.0,108104.0
2018,44,0.47,48.0,102178.0
2018,45,0.88,81.0,91817.0
2018,46,0.8,89.0,111949.0
2018,47,1.01,105.0,104009.0
2018,48,1.09,104.0,95255.0
2018,49,1.34,174.0,129837.0
2018,50,1.87,189.0,100876.0
2018,51,2.01,190.0,94575.0
2018,52,2.19,182.0,83251.0
2019,01,3.3,362.0,109826.0
2019,02,4.51,538.0,119283.0
2019,03,7.38,976.0,132251.0
2019,04,11.04,1425.0,129032.0
2019,05,12.75,1514.0,118757.0
2019,06,12.35,1602.0,129742.0
2019,07,9.28,1148.0,123702.0
2019,08,7.6,831.0,109303.0
2019,09,4.6,530.0,115199.0
2019,10,2.9,334.0,115141.0
2019,11,1.79,224.0,125075.0
2019,12,1.12,104.0,93225.0
2019,13,0.89,103.0,116106.0
2019,14,0.66,60.0,90509.0
2019,15,0.42,40.0,95476.0
