anno,settimana,incidenza,numero_casi,numero_assistiti
2019,44,0.18,2.0,11165.0
2019,45,1.31,24.0,18263.0
2019,46,1.93,22.0,11388.0
2019,47,2.4,34.0,14168.0
2019,48,1.96,36.0,18381.0
2019,49,3.36,35.0,10409.0
2019,50,5.17,92.0,17807.0
2019,51,6.21,108.0,17386.0
2019,52,5.17,97.0,18765.0
2020,01,8.43,82.0,9722.0
2020,02,9.33,162.0,17363.0
2020,03,13.43,381.0,28360.0
2020,04,18.32,361.0,19709.0
2020,05,25.81,430.0,16660.0
2020,06,25.56,524.0,20501.0
2020,07,16.55,363.0,21932.0
2020,08,19.44,361.0,18570.0
2020,09,16.8,386.0,22971.0
2020,10,11.23,173.0,15408.0
2020,14,1.38,11.0,7979.0
