anno,settimana,incidenza,numero_casi,numero_assistiti
2019,44,2.04,123.0,60417.0
2019,45,3.04,235.0,77319.0
2019,46,3.48,244.0,70037.0
2019,47,4.11,261.0,63509.0
2019,48,3.46,203.0,58611.0
2019,49,3.63,221.0,60879.0
2019,50,4.72,314.0,66508.0
2019,51,3.82,195.0,51114.0
2019,52,3.73,177.0,47485.0
2020,01,4.97,232.0,46675.0
2020,02,6.53,437.0,66951.0
2020,03,8.02,489.0,60969.0
2020,04,9.69,623.0,64283.0
2020,05,10.85,697.0,64242.0
2020,06,10.87,728.0,66957.0
2020,07,11.5,727.0,63240.0
2020,08,10.17,781.0,76809.0
2020,09,7.57,535.0,70650.0
