anno,settimana,incidenza,numero_casi,numero_assistiti
2020,49,1.66,78.0,46992.0
2020,50,1.5,66.0,44081.0
2020,51,1.93,80.0,41390.0
2020,52,1.37,53.0,38565.0
2020,53,1.21,51.0,42220.0
2021,01,1.29,47.0,36374.0
2021,02,1.61,73.0,45302.0
2021,03,1.19,43.0,36215.0
2021,04,1.76,81.0,45900.0
2021,05,2.48,100.0,40301.0
2021,06,2.1,76.0,36105.0
2021,07,1.68,77.0,45809.0
2021,08,2.22,94.0,42418.0
2021,09,2.29,92.0,40120.0
2021,10,1.81,62.0,34212.0
2021,11,1.33,49.0,36861.0
2021,12,1.19,46.0,38779.0
2021,13,0.98,41.0,41929.0
2021,14,0.6,29.0,48262.0
