anno,settimana,incidenza,numero_casi,numero_assistiti
2021,44,2.91,112.0,38525.0
2021,45,4.19,175.0,41735.0
2021,46,5.46,206.0,37740.0
2021,47,5.05,186.0,36818.0
2021,48,5.55,231.0,41638.0
2021,49,4.35,194.0,44597.0
2021,50,5.06,164.0,32387.0
2021,51,6.03,242.0,40124.0
2021,52,5.93,247.0,41660.0
2022,01,5.12,181.0,35381.0
2022,02,5.4,187.0,34623.0
2022,03,3.73,132.0,35417.0
2022,04,2.85,86.0,30149.0
2022,05,3.38,142.0,41976.0
2022,06,3.15,112.0,35596.0
2022,07,2.07,79.0,38192.0
2022,08,2.99,101.0,33793.0
2022,09,4.04,162.0,40135.0
2022,10,4.55,160.0,35198.0
2022,11,5.57,194.0,34826.0
2022,12,5.49,201.0,36645.0
2022,13,6.09,216.0,35496.0
2022,14,5.22,160.0,30637.0
2022,15,4.93,155.0,31462.0
2022,16,3.83,102.0,26650.0
2022,17,3.49,111.0,31795.0
