anno,settimana,incidenza,numero_casi,numero_assistiti
2021,44,0.0,0.0,0.0
2021,45,0.0,0.0,0.0
2021,46,0.0,0.0,0.0
2021,47,0.0,0.0,13260.0
2021,48,0.4,5.0,12597.0
2021,49,1.28,20.0,15639.0
2021,50,0.71,10.0,14147.0
2021,51,1.47,23.0,15639.0
2021,52,1.6,25.0,15639.0
2022,01,1.9,28.0,14752.0
2022,02,0.7,11.0,15639.0
2022,03,0.71,10.0,14147.0
2022,04,0.21,3.0,14147.0
2022,05,0.49,7.0,14147.0
2022,06,0.57,8.0,14147.0
2022,07,1.06,15.0,14147.0
2022,08,2.37,37.0,15639.0
2022,09,0.28,4.0,14147.0
2022,10,0.92,13.0,14147.0
2022,11,0.49,7.0,14147.0
2022,12,0.64,9.0,14147.0
2022,13,2.37,37.0,15639.0
2022,14,2.4,34.0,14147.0
2022,15,1.56,22.0,14147.0
