anno,settimana,incidenza,numero_casi,numero_assistiti
2021,44,0.0,0.0,0.0
2021,45,0.0,0.0,0.0
2021,46,0.0,0.0,0.0
2021,47,0.0,0.0,0.0
2021,48,0.0,0.0,0.0
2021,49,1.94,75.0,38569.0
2021,50,4.17,29.0,6954.0
2021,51,1.94,58.0,29927.0
2021,52,6.31,27.0,4278.0
2022,01,10.7,72.0,6732.0
2022,02,0.23,5.0,21725.0
2022,03,3.45,19.0,5503.0
2022,04,2.22,17.0,7645.0
2022,05,0.9,26.0,28769.0
2022,06,0.63,3.0,4793.0
2022,07,1.24,51.0,41107.0
2022,08,3.36,42.0,12511.0
2022,09,0.0,0.0,8250.0
2022,10,0.83,21.0,25200.0
2022,11,2.57,25.0,9723.0
2022,12,2.44,91.0,37230.0
2022,13,13.0,59.0,4537.0
