anno,settimana,incidenza,numero_casi,numero_assistiti
2021,44,0.0,0.0,0.0
2021,45,0.0,0.0,0.0
2021,46,2.3,20.0,8684.0
2021,47,5.36,65.0,12132.0
2021,48,3.24,37.0,11428.0
2021,49,4.44,50.0,11258.0
2021,50,4.7,46.0,9784.0
2021,51,7.12,43.0,6042.0
2021,52,10.23,59.0,5765.0
2022,01,4.96,36.0,7263.0
2022,02,7.76,46.0,5930.0
2022,03,6.04,49.0,8113.0
2022,04,9.08,85.0,9362.0
2022,05,10.41,73.0,7014.0
2022,06,6.93,63.0,9089.0
2022,07,6.73,44.0,6538.0
2022,08,5.78,37.0,6397.0
2022,09,6.41,38.0,5925.0
2022,10,12.09,51.0,4218.0
2022,11,13.5,66.0,4888.0
2022,12,6.58,39.0,5925.0
2022,13,13.37,56.0,4190.0
