anno,settimana,incidenza,numero_casi,numero_assistiti
2022,43,2.97,200.0,67444.0
2022,44,3.01,250.0,83139.0
2022,45,4.7,324.0,68938.0
2022,46,5.31,511.0,96251.0
2022,47,7.68,704.0,91647.0
2022,48,10.01,847.0,84586.0
2022,49,11.89,1093.0,91944.0
2022,50,11.13,1134.0,101872.0
2022,51,11.85,1052.0,88756.0
2022,52,13.87,1565.0,112830.0
2023,01,12.86,1291.0,100368.0
2023,02,9.32,654.0,70138.0
2023,03,8.6,775.0,90158.0
2023,04,9.21,926.0,100573.0
2023,05,7.32,614.0,83899.0
2023,06,7.0,583.0,83271.0
2023,07,6.47,485.0,74908.0
2023,08,7.87,1035.0,131545.0
2023,09,8.71,694.0,79652.0
