anno,settimana,incidenza,numero_casi,numero_assistiti
2022,43,3.75,495.0,132014.0
2022,44,4.03,548.0,135992.0
2022,45,4.69,661.0,141067.0
2022,46,8.74,904.0,103412.0
2022,47,8.62,1.02,118337.0
2022,48,12.17,1685.0,138510.0
2022,49,14.0,1895.0,135355.0
2022,50,13.6,1835.0,134960.0
2022,51,12.26,1686.0,137496.0
2022,52,12.15,1715.0,141132.0
2023,01,12.02,1631.0,135667.0
2023,02,10.92,1251.0,114586.0
2023,03,11.95,1586.0,132763.0
2023,04,9.62,1279.0,132908.0
2023,05,9.52,1184.0,124385.0
2023,06,8.15,1065.0,130665.0
2023,07,6.18,586.0,94877.0
2023,08,8.19,1141.0,139368.0
2023,09,7.48,888.0,118724.0
2023,10,7.22,849.0,117544.0
2023,11,6.68,868.0,129973.0
