anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,810.0,124027.0,6.53
2023,46,1030.0,118724.0,8.68
2023,47,1445.0,137095.0,10.54
2023,48,1581.0,139379.0,11.34
2023,49,1295.0,126195.0,10.26
2023,50,2298.0,138495.0,16.59
2023,51,2431.0,120409.0,20.19
2023,52,2392.0,120556.0,19.84
2024,1,2105.0,136984.0,15.37
2024,2,1724.0,141154.0,12.21
2024,3,1620.0,154771.0,10.47
2024,4,1257.0,135622.0,9.27
2024,5,1180.0,138346.0,8.53
2024,6,1109.0,133544.0,8.3
2024,7,919.0,131531.0,6.99
2024,8,1042.0,136587.0,7.63
2024,9,937.0,126293.0,7.42
2024,10,873.0,131286.0,6.65
2024,11,757.0,129096.0,5.86
2024,12,699.0,128543.0,5.44
2024,13,496.0,118231.0,4.2
