anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,3.0,6804.0,0.44
2023,46,27.0,9079.0,2.97
2023,47,67.0,15174.0,4.42
2023,48,164.0,27346.0,6.0
2023,49,202.0,33214.0,6.08
2023,50,354.0,31317.0,11.3
2023,51,645.0,22358.0,28.85
2023,52,485.0,20472.0,23.69
2024,1,264.0,34683.0,7.61
2024,2,383.0,32105.0,11.93
2024,3,580.0,41629.0,13.93
2024,4,325.0,32300.0,10.06
2024,5,443.0,32307.0,13.71
2024,6,424.0,39739.0,10.67
2024,7,189.0,33440.0,5.65
2024,8,146.0,28341.0,5.15
2024,9,145.0,30438.0,4.76
2024,10,210.0,30120.0,6.97
2024,11,126.0,25423.0,4.96
2024,12,82.0,18017.0,4.55
2024,13,92.0,23609.0,3.9
