anno,settimana,numero_casi,numero_assistiti,incidenza
2023,42,10136,2042517,4.96
2023,43,10669,2050613,5.2
2023,44,11518,2058230,5.6
2023,45,14609,2106516,6.94
2023,46,17724,2151285,8.24
2023,47,21260,2178674,9.76
2023,48,25359,2196500,11.55
2023,49,27828,2211275,12.58
2023,50,35093,2218016,15.82
2023,51,39702,2169885,18.3
2023,52,39674,2134997,18.58
2024,1,36454,2133185,17.09
2024,2,31016,2152182,14.41
2024,3,25237,2126215,11.87
2024,4,20624,2084809,9.89
2024,5,18047,2022525,8.92
2024,6,15809,1953328,8.09
2024,7,12469,1810886,6.89
2024,8,10000,1492636,6.7
