anno,settimana,numero_casi,numero_assistiti,incidenza
2023,42,10142,2048121,4.95
2023,43,10677,2056217,5.19
2023,44,11518,2063834,5.58
2023,45,14622,2112120,6.92
2023,46,17865,2160358,8.27
2023,47,21337,2187747,9.75
2023,48,25424,2204953,11.53
2023,49,27899,2221386,12.56
2023,50,35175,2228127,15.79
2023,51,39792,2179996,18.25
2023,52,39757,2148190,18.51
2024,1,36598,2152337,17.0
2024,2,31366,2179158,14.39
2024,3,25647,2160577,11.87
2024,4,21161,2133852,9.92
2024,5,18819,2102926,8.95
2024,6,16838,2076115,8.11
2024,7,14597,2036210,7.17
2024,8,13883,1982796,7.0
2024,9,12220,1879926,6.5
2024,10,10827,1722170,6.29
2024,11,7620,1356107,5.62
