anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,78.0,16959.0,4.6
2023,46,117.0,18045.0,6.48
2023,47,119.0,18148.0,6.56
2023,48,90.0,18395.0,4.89
2023,49,132.0,19856.0,6.65
2023,50,202.0,1786.0,11.31
2023,51,234.0,16277.0,14.38
2023,52,257.0,15436.0,16.65
2024,1,220.0,18053.0,12.19
2024,2,189.0,19060.0,9.92
2024,3,236.0,20551.0,11.48
2024,4,73.0,11670.0,6.26
2024,5,107.0,15172.0,7.05
2024,6,88.0,15149.0,5.81
2024,7,81.0,17241.0,4.7
2024,8,65.0,13307.0,4.88
2024,9,34.0,15909.0,2.14
2024,10,133.0,19332.0,6.88
2024,11,38.0,10820.0,3.51
2024,12,14.0,6041.0,2.32
2024,13,17.0,7616.0,2.23
