anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,1046.0,217467.0,4.81
2023,46,1243.0,214737.0,5.79
2023,47,1803.0,244478.0,7.37
2023,48,2114.0,227243.0,9.3
2023,49,1984.0,20689.0,9.59
2023,50,2628.0,221236.0,11.88
2023,51,3137.0,227584.0,13.78
2023,52,3968.0,240782.0,16.48
2024,1,4221.0,257819.0,16.37
2024,2,3300.0,242054.0,13.63
2024,3,2700.0,244581.0,11.04
2024,4,1988.0,226857.0,8.76
2024,5,1738.0,243542.0,7.14
2024,6,1674.0,235689.0,7.1
2024,7,1446.0,251335.0,5.75
2024,8,1541.0,247666.0,6.22
2024,9,1394.0,239716.0,5.82
2024,10,1180.0,213995.0,5.51
2024,11,1178.0,230506.0,5.11
2024,12,1244.0,221202.0,5.62
2024,13,1179.0,226436.0,5.21
