anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,2611.0,293163.0,8.91
2023,46,3.029,279536.0,10.84
2023,47,4144.0,329803.0,12.57
2023,48,4602.0,314425.0,14.64
2023,49,4292.0,293554.0,14.62
2023,50,5873.0,33551.0,17.5
2023,51,5844.0,291139.0,20.07
2023,52,4507.0,263686.0,17.09
2024,1,4888.0,309921.0,15.77
2024,2,4069.0,329258.0,12.36
2024,3,3617.0,341240.0,10.6
2024,4,2775.0,310334.0,8.94
2024,5,2409.0,303333.0,7.94
2024,6,2083.0,272761.0,7.64
2024,7,1823.0,298033.0,6.12
2024,8,2016.0,306799.0,6.57
2024,9,2321.0,314317.0,7.38
2024,10,2187.0,299075.0,7.31
2024,11,1967.0,295623.0,6.65
2024,12,1728.0,264874.0,6.52
2024,13,1646.0,260121.0,6.33
