anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,12.0,8265.0,1.45
2023,46,28.0,15555.0,1.8
2023,47,40.0,15555.0,2.57
2023,48,58.0,15555.0,3.73
2023,49,46.0,12817.0,3.59
2023,50,53.0,8106.0,6.54
2023,51,33.0,4597.0,7.18
2023,52,139.0,13721.0,10.13
2024,1,167.0,13547.0,12.33
2024,3,70.0,13015.0,5.38
2024,4,73.0,15555.0,4.69
2024,5,40.0,8164.0,4.9
2024,6,39.0,10240.0,3.81
2024,7,49.0,12001.0,4.08
2024,8,42.0,13536.0,3.1
2024,10,41.0,14027.0,2.92
2024,11,39.0,14027.0,2.78
2024,13,30.0,6065.0,4.95
