anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,319.0,7652.0,4.17
2023,46,381.0,75136.0,5.07
2023,47,768.0,10075.0,7.62
2023,48,821.0,87786.0,9.35
2023,49,884.0,80392.0,11.0
2023,50,979.0,87386.0,11.2
2023,51,1601.0,93531.0,17.12
2023,52,1598.0,90921.0,17.58
2024,1,1937.0,104242.0,18.58
2024,2,1887.0,120220.0,15.7
2024,3,815.0,81189.0,10.04
2024,4,680.0,73747.0,9.22
2024,5,776.0,103468.0,7.5
2024,6,471.0,67982.0,6.93
2024,7,487.0,85768.0,5.68
2024,8,404.0,74727.0,5.41
2024,9,386.0,84457.0,4.57
2024,10,336.0,66055.0,5.09
2024,11,249.0,67859.0,3.67
2024,12,329.0,83540.0,3.94
2024,13,231.0,56210.0,4.11
