anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,847.0,156114.0,5.43
2023,46,853.0,149173.0,5.72
2023,47,1084.0,160836.0,6.74
2023,48,1308.0,145701.0,8.98
2023,49,1617.0,145029.0,11.15
2023,50,2175.0,155224.0,14.01
2023,51,2224.0,145824.0,15.25
2023,52,2307.0,140309.0,16.44
2024,1,289.0,15245.0,18.96
2024,2,2388.0,141726.0,16.85
2024,3,1974.0,145688.0,13.55
2024,4,2302.0,136627.0,16.85
2024,5,1315.0,145461.0,9.04
2024,6,1137.0,137746.0,8.25
2024,7,1248.0,134448.0,9.28
2024,8,990.0,140616.0,7.04
2024,9,783.0,114328.0,6.85
2024,10,718.0,132552.0,5.42
2024,11,624.0,135804.0,4.59
2024,12,437.0,89515.0,4.88
2024,13,564.0,132190.0,4.27
