anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,245.0,50285.0,4.87
2023,46,312.0,54619.0,5.71
2023,47,544.0,61919.0,8.79
2023,48,658.0,61372.0,10.72
2023,49,734.0,66926.0,10.97
2023,50,1102.0,66141.0,16.66
2023,51,1087.0,55958.0,19.43
2023,52,1057.0,53007.0,19.94
2024,1,1260.0,64788.0,19.45
2024,2,802.0,60095.0,13.35
2024,3,638.0,59215.0,10.77
2024,4,538.0,52204.0,10.31
2024,5,542.0,57215.0,9.47
2024,6,376.0,54094.0,6.95
2024,7,411.0,57171.0,7.19
2024,8,411.0,61152.0,6.72
2024,9,290.0,52714.0,5.5
2024,10,346.0,58364.0,5.93
2024,11,281.0,54210.0,5.18
2024,12,260.0,51376.0,5.06
2024,13,281.0,56532.0,4.97
