anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,25.0,9915.0,2.52
2023,46,66.0,13384.0,4.93
2023,47,118.0,15791.0,7.47
2023,48,127.0,17147.0,7.41
2023,49,151.0,16193.0,9.33
2023,50,218.0,18258.0,11.94
2023,51,309.0,20539.0,15.04
2023,52,337.0,14694.0,22.93
2024,1,276.0,16916.0,16.32
2024,2,348.0,19869.0,17.51
2024,3,231.0,17510.0,13.19
2024,4,189.0,14890.0,12.69
2024,5,130.0,13125.0,9.9
2024,6,127.0,13809.0,9.2
2024,7,113.0,14580.0,7.75
2024,8,157.0,20648.0,7.6
2024,9,110.0,13388.0,8.22
2024,10,129.0,15634.0,8.25
2024,11,58.0,10174.0,5.7
2024,12,113.0,15644.0,7.22
2024,13,88.0,10989.0,8.01
