anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,23.0,13.55,1697,ARI
2025,44,45.0,10.43,4314,ARI
2025,45,51.0,7.45,6848,ARI
2025,46,71.0,5.98,11873,ARI
2025,47,78.0,6.46,12082,ARI
2025,48,95.0,7.85,12098,ARI
2025,49,76.0,12.95,5868,ARI
2025,50,70.0,11.97,5849,ARI
2025,51,97.0,13.06,7430,ARI
2025,52,97.0,13.06,7430,ARI
2026,1,40.0,13.12,3049,ARI
2026,2,163.0,21.94,7430,ARI
2026,3,162.0,21.8,7430,ARI
2026,4,163.0,21.94,7430,ARI
2026,5,98.0,14.26,6873,ARI
2026,6,108.0,14.54,7430,ARI
2026,7,151.0,21.82,6920,ARI
2026,08,55.0,11.43,4813,ARI
