anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,4.0,2.6,1537,ARI
2025,44,36.0,4.82,7467,ARI
2025,45,44.0,7.44,5913,ARI
2025,46,52.0,5.03,10343,ARI
2025,47,95.0,9.68,9815,ARI
2025,48,236.0,11.96,19739,ARI
2025,49,206.0,11.09,18570,ARI
2025,50,439.0,21.07,20837,ARI
2025,51,458.0,24.38,18785,ARI
2025,52,336.0,19.2,17500,ARI
2026,1,292.0,20.53,14222,ARI
2026,2,376.0,27.56,13641,ARI
2026,3,308.0,23.7,12995,ARI
2026,4,280.0,20.67,13543,ARI
2026,5,237.0,14.82,15997,ARI
2026,6,180.0,15.09,11929,ARI
2026,7,158.0,13.24,11932,ARI
2026,08,135.0,11.59,11646,ARI
