anno,settimana,numero_casi,numero_assistiti,incidenza,target
2025,42,18391,2572634,7.15,ARI
2025,43,18909,2601136,7.27,ARI
2025,44,19598,2631028,7.45,ARI
2025,45,20888,2655911,7.86,ARI
2025,46,22782,2681201,8.5,ARI
2025,47,25464,2692052,9.46,ARI
2025,48,29034,2696357,10.77,ARI
2025,49,35019,2689173,13.02,ARI
2025,50,40061,2676299,14.97,ARI
2025,51,46089,2637545,17.47,ARI
2025,52,38031,2536590,14.99,ARI
2026,01,37549,2458035,15.28,ARI
2026,02,33571,2362649,14.21,ARI
2026,03,24059,1898245,12.67,ARI
