anno,settimana,numero_casi,numero_assistiti,incidenza,target
2025,42,18665,2594226,7.19,ARI
2025,43,19182,2620763,7.32,ARI
2025,44,19878,2650655,7.5,ARI
2025,45,21476,2675538,8.03,ARI
2025,46,23437,2703884,8.67,ARI
2025,47,26035,2711164,9.6,ARI
2025,48,29853,2719553,10.98,ARI
2025,49,36127,2720113,13.28,ARI
2025,50,41127,2711237,15.17,ARI
2025,51,47567,2694818,17.65,ARI
2025,52,39877,2614638,15.25,ARI
2026,01,39845,2593863,15.36,ARI
2026,02,38640,2675220,14.44,ARI
2026,03,35304,2675422,13.2,ARI
2026,04,31650,2659404,11.9,ARI
2026,05,28489,2619976,10.87,ARI
2026,06,25588,2571977,9.95,ARI
2026,07,22383,2491577,8.98,ARI
2026,08,18245,2307762,7.91,ARI
2026,09,12194,1625154,7.5,ARI
