anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,1690.0,7.23,233904,ARI
2025,44,1803.0,7.39,243966,ARI
2025,45,1729.0,7.33,235819,ARI
2025,46,2024.0,7.88,256846,ARI
2025,47,2234.0,8.78,254445,ARI
2025,48,2413.0,9.56,252520,ARI
2025,49,2585.0,10.91,237036,ARI
2025,50,3200.0,12.95,247103,ARI
2025,51,3773.0,17.56,214853,ARI
2025,52,4219.0,17.08,246977,ARI
2026,1,3453.0,15.08,228907,ARI
2026,2,3730.0,14.58,255867,ARI
2026,3,3204.0,11.93,268524,ARI
2026,4,2916.0,11.06,263709,ARI
2026,5,2330.0,9.35,249117,ARI
2026,06,2398.0,9.77,245384,ARI
