anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,619.0,6.81,90889,ARI
2025,44,979.0,6.79,144224,ARI
2025,45,1130.0,8.3,136222,ARI
2025,46,1230.0,8.15,150973,ARI
2025,47,1376.0,9.17,150099,ARI
2025,48,2514.0,10.2,246403,ARI
2025,49,1544.0,10.57,146012,ARI
2025,50,2277.0,13.09,173906,ARI
2025,51,1812.0,14.11,128391,ARI
2025,52,2591.0,15.85,163468,ARI
2026,1,2561.0,17.26,148411,ARI
2026,2,2682.0,16.1,166592,ARI
2026,3,4703.0,20.92,224783,ARI
2026,4,3119.0,17.28,180468,ARI
2026,5,2584.0,15.56,166112,ARI
2026,6,3175.0,14.6,217392,ARI
2026,7,1884.0,10.58,178019,ARI
2026,08,1644.0,9.43,174370,ARI
