anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,115.0,7.58,15169,ARI
2025,44,181.0,10.85,16680,ARI
2025,45,126.0,8.5,14819,ARI
2025,46,158.0,7.67,20598,ARI
2025,47,351.0,14.13,24849,ARI
2025,48,283.0,13.08,21634,ARI
2025,49,202.0,14.57,13862,ARI
2025,50,388.0,23.61,16431,ARI
2025,51,282.0,16.49,17097,ARI
2025,52,253.0,12.07,20959,ARI
2026,1,38.0,11.3,3362,ARI
2026,2,349.0,19.18,18193,ARI
2026,3,348.0,18.44,18876,ARI
2026,4,340.0,15.61,21787,ARI
2026,5,180.0,10.79,16689,ARI
2026,6,142.0,7.06,20110,ARI
2026,7,93.0,5.12,18179,ARI
2026,08,147.0,6.85,21449,ARI
