anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,10.0,2.9,3454,ARI
2025,44,32.0,3.89,8220,ARI
2025,45,62.0,6.86,9032,ARI
2025,46,53.0,3.97,13336,ARI
2025,47,73.0,4.87,14999,ARI
2025,48,63.0,6.14,10259,ARI
2025,49,60.0,7.1,8445,ARI
2025,50,114.0,10.9,10462,ARI
2025,51,177.0,12.49,14171,ARI
2025,52,120.0,13.55,8856,ARI
2026,1,107.0,13.61,7863,ARI
2026,2,154.0,9.56,16113,ARI
2026,3,97.0,10.14,9570,ARI
2026,4,106.0,9.62,11022,ARI
2026,5,125.0,9.1,13739,ARI
2026,06,116.0,9.33,12436,ARI
