anno,settimana,incidenza,target
2024,46,0.0627,ILI+_FLU_B
2024,47,0.0895,ILI+_FLU_B
2024,48,0.1523,ILI+_FLU_B
2024,49,0.1956,ILI+_FLU_B
2024,50,0.3585,ILI+_FLU_B
2024,51,0.5891,ILI+_FLU_B
2024,52,0.789,ILI+_FLU_B
2025,1,1.0615,ILI+_FLU_B
2025,2,1.5012,ILI+_FLU_B
2025,3,1.9697,ILI+_FLU_B
2025,4,2.9155,ILI+_FLU_B
2025,5,3.2676,ILI+_FLU_B
2025,6,3.1452,ILI+_FLU_B
2025,7,3.2585,ILI+_FLU_B
2025,8,2.8627,ILI+_FLU_B
2025,9,2.6508,ILI+_FLU_B
2025,10,1.9858,ILI+_FLU_B
2025,11,1.7585,ILI+_FLU_B
2025,12,1.1112,ILI+_FLU_B
2025,13,0.5428,ILI+_FLU_B
