anno,settimana,incidenza,numero_casi,numero_assistiti,target
2003,42,0.36,357,1000656,ILI
2003,43,0.47,500,1066723,ILI
2003,44,0.52,597,1150866,ILI
2003,45,0.6,723,1204797,ILI
2003,46,0.59,742,1251026,ILI
2003,47,0.7,866,1244433,ILI
2003,48,0.64,805,1250648,ILI
2003,49,0.8,990,1242983,ILI
2003,50,0.99,1238,1256363,ILI
2003,51,1.3,1615,1242043,ILI
2003,52,1.32,1589,1207104,ILI
2004,1,1.71,2058,1202319,ILI
2004,2,2.17,2670,1227765,ILI
2004,3,2.82,3512,1243420,ILI
2004,4,3.67,4543,1237574,ILI
2004,5,4.4,5440,1236811,ILI
2004,6,4.83,5988,1240307,ILI
2004,7,4.75,5809,1222902,ILI
2004,8,4.62,5618,1215472,ILI
2004,9,4.0,4793,1197005,ILI
2004,10,3.56,4267,1198232,ILI
2004,11,3.29,3922,1191925,ILI
2004,12,2.74,3205,1168862,ILI
2004,13,2.15,2458,1144868,ILI
2004,14,1.68,1870,1110636,ILI
