anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,1,4.97,380.0,76497.0,ILI
2012,2,7.08,392.0,55356.0,ILI
2012,3,9.57,660.0,68954.0,ILI
2012,4,12.24,1059.0,86487.0,ILI
2012,5,17.29,601.0,34760.0,ILI
2012,6,12.12,983.0,81096.0,ILI
2012,7,8.82,443.0,50214.0,ILI
2012,8,5.35,377.0,70522.0,ILI
2012,9,4.18,181.0,43281.0,ILI
2012,10,3.29,127.0,38613.0,ILI
2012,11,2.14,79.0,36951.0,ILI
2012,12,5.58,68.0,12191.0,ILI
2012,13,1.95,77.0,39496.0,ILI
2012,14,3.36,26.0,7742.0,ILI
2012,15,2.89,47.0,16281.0,ILI
2012,16,1.55,106.0,68371.0,ILI
