anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,1,1.04,145.0,138864.0,ILI
2012,2,1.77,271.0,153318.0,ILI
2012,3,3.45,519.0,150404.0,ILI
2012,4,4.74,717.0,151117.0,ILI
2012,5,6.52,1028.0,157775.0,ILI
2012,6,6.22,984.0,158196.0,ILI
2012,7,4.79,730.0,152428.0,ILI
2012,8,4.19,570.0,136037.0,ILI
2012,9,4.19,570.0,136037.0,ILI
2012,10,4.19,570.0,136037.0,ILI
2012,11,1.55,179.0,115368.0,ILI
2012,12,0.74,99.0,132920.0,ILI
2012,13,0.39,50.0,128995.0,ILI
2012,14,0.28,29.0,104745.0,ILI
2012,15,0.3,33.0,111827.0,ILI
2012,16,0.3,33.0,111827.0,ILI
