anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.3,3.0,9996.0,ILI
2012,45,0.07,1.0,14510.0,ILI
2012,46,0.41,6.0,14753.0,ILI
2012,47,0.49,6.0,12190.0,ILI
2012,48,0.61,8.0,13115.0,ILI
2012,49,0.21,3.0,14297.0,ILI
2012,50,1.81,25.0,13831.0,ILI
2012,51,3.52,25.0,7097.0,ILI
2012,52,3.52,25.0,7097.0,ILI
2013,1,2.11,27.0,12783.0,ILI
2013,2,3.39,50.0,14762.0,ILI
2013,3,5.81,77.0,13248.0,ILI
2013,4,8.38,131.0,15629.0,ILI
2013,5,13.69,199.0,14531.0,ILI
2013,6,13.56,203.0,14972.0,ILI
2013,7,10.77,151.0,14022.0,ILI
