anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,1.28,21.0,16402.0,ILI
2012,45,1.52,24.0,15767.0,ILI
2012,46,2.39,37.0,15455.0,ILI
2012,47,1.64,17.0,10395.0,ILI
2012,48,2.4,41.0,17116.0,ILI
2012,49,1.74,25.0,14389.0,ILI
2012,50,1.96,37.0,18834.0,ILI
2012,51,2.31,14.0,6061.0,ILI
2012,52,2.31,14.0,6061.0,ILI
2013,1,3.53,54.0,15295.0,ILI
2013,2,4.47,60.0,13415.0,ILI
2013,3,5.06,72.0,14230.0,ILI
2013,4,6.61,60.0,9073.0,ILI
2013,5,7.61,121.0,15893.0,ILI
2013,6,10.96,168.0,15329.0,ILI
2013,7,8.34,133.0,15954.0,ILI
2013,8,14.37,180.0,12523.0,ILI
2013,9,11.16,127.0,11380.0,ILI
2013,10,3.93,33.0,8401.0,ILI
2013,11,6.37,83.0,13023.0,ILI
2013,12,5.87,69.0,11760.0,ILI
2013,13,4.32,49.0,11348.0,ILI
2013,14,0.77,8.0,10423.0,ILI
