anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.56,48.0,85566.0,ILI
2012,45,0.76,61.0,80330.0,ILI
2012,46,0.83,70.0,84664.0,ILI
2012,47,0.97,91.0,94233.0,ILI
2012,48,1.44,130.0,90207.0,ILI
2012,49,1.66,181.0,108924.0,ILI
2012,50,1.82,188.0,103206.0,ILI
2012,51,2.83,279.0,98429.0,ILI
2012,52,2.86,209.0,73094.0,ILI
2013,1,3.84,382.0,99538.0,ILI
2013,2,5.6,580.0,103493.0,ILI
2013,3,6.91,756.0,109417.0,ILI
2013,4,8.51,915.0,107583.0,ILI
2013,5,10.75,1128.0,104949.0,ILI
2013,6,11.48,1194.0,103996.0,ILI
2013,7,12.55,1235.0,98408.0,ILI
2013,8,13.46,1349.0,100237.0,ILI
2013,9,10.12,1025.0,101244.0,ILI
2013,10,9.21,889.0,96558.0,ILI
2013,11,6.89,674.0,97878.0,ILI
2013,12,3.94,395.0,100244.0,ILI
2013,13,2.83,257.0,90862.0,ILI
2013,14,2.34,210.0,89624.0,ILI
2013,15,1.55,129.0,83054.0,ILI
2013,16,0.59,50.0,84746.0,ILI
2013,17,0.49,43.0,88471.0,ILI
