anno,settimana,incidenza,numero_casi,numero_assistiti
2012,44,0.0,0.0,3192.0
2012,45,1.8,10.0,5554.0
2012,46,1.25,7.0,5579.0
2012,47,0.59,9.0,15166.0
2012,48,1.52,21.0,13836.0
2012,49,2.71,25.0,9219.0
2012,50,2.21,31.0,14027.0
2012,51,1.8,34.0,18869.0
2012,52,2.28,29.0,12704.0
2013,01,4.25,71.0,16707.0
2013,02,7.33,164.0,22366.0
2013,03,18.23,383.0,21005.0
2013,04,22.73,606.0,26658.0
2013,05,25.43,730.0,28704.0
2013,06,28.99,617.0,21284.0
2013,07,28.68,542.0,18899.0
2013,08,26.14,532.0,20353.0
2013,09,15.59,280.0,17958.0
2013,10,9.5,181.0,19048.0
2013,11,5.93,117.0,19715.0
2013,12,4.36,77.0,17642.0
2013,13,2.38,33.0,13889.0
2013,14,1.66,18.0,10839.0
2013,15,1.42,13.0,9154.0
2013,16,0.56,4.0,7195.0
