anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.0,0.0,0.0,ILI
2012,45,0.0,0.0,0.0,ILI
2012,46,0.0,0.0,0.0,ILI
2012,47,0.0,0.0,0.0,ILI
2012,48,0.0,0.0,0.0,ILI
2012,49,0.0,0.0,0.0,ILI
2012,50,3.58,18.0,5022.0,ILI
2012,51,0.0,0.0,0.0,ILI
2012,52,1.32,2.0,1512.0,ILI
2013,1,2.74,31.0,11304.0,ILI
2013,2,5.84,76.0,13024.0,ILI
2013,3,10.7,71.0,6637.0,ILI
2013,4,0.0,0.0,0.0,ILI
2013,5,4.66,37.0,7948.0,ILI
2013,6,5.38,35.0,6501.0,ILI
2013,7,7.63,125.0,16375.0,ILI
2013,8,7.17,57.0,7948.0,ILI
2013,9,8.73,91.0,10424.0,ILI
2013,10,3.69,24.0,6501.0,ILI
