anno,settimana,incidenza,numero_casi,numero_assistiti
2012,44,0.0,0.0,0.0
2012,45,0.0,0.0,0.0
2012,46,0.0,0.0,0.0
2012,47,0.0,0.0,0.0
2012,48,0.0,0.0,0.0
2012,49,0.0,0.0,0.0
2012,50,3.58,18.0,5022.0
2012,51,0.0,0.0,0.0
2012,52,1.32,2.0,1512.0
2013,01,2.74,31.0,11304.0
2013,02,5.84,76.0,13024.0
2013,03,10.7,71.0,6637.0
2013,04,0.0,0.0,0.0
2013,05,4.66,37.0,7948.0
2013,06,5.38,35.0,6501.0
2013,07,7.63,125.0,16375.0
2013,08,7.17,57.0,7948.0
2013,09,8.73,91.0,10424.0
2013,10,3.69,24.0,6501.0
2013,11,3.15,30.0,9514.0
2013,12,0.0,0.0,0.0
2013,13,6.85,106.0,15476.0
2013,14,0.0,0.0,0.0
