anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.8,13.0,16246.0,ILI
2012,45,1.17,14.0,11964.0,ILI
2012,46,1.33,20.0,15081.0,ILI
2012,47,1.66,23.0,13827.0,ILI
2012,48,1.36,21.0,15409.0,ILI
2012,49,2.28,38.0,16676.0,ILI
2012,50,1.88,26.0,13797.0,ILI
2012,51,2.98,46.0,15443.0,ILI
2012,52,2.21,22.0,9968.0,ILI
2013,1,3.01,50.0,16589.0,ILI
2013,2,4.89,65.0,13304.0,ILI
2013,3,7.94,155.0,19531.0,ILI
2013,4,8.87,151.0,17028.0,ILI
2013,5,15.35,255.0,16616.0,ILI
2013,6,14.77,269.0,18218.0,ILI
2013,7,14.5,219.0,15108.0,ILI
2013,8,9.31,164.0,17622.0,ILI
2013,9,9.01,150.0,16643.0,ILI
2013,10,6.32,104.0,16454.0,ILI
2013,11,4.54,64.0,14090.0,ILI
2013,12,3.7,55.0,14872.0,ILI
2013,13,2.86,29.0,10133.0,ILI
2013,14,1.02,14.0,13755.0,ILI
